Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,128041.3333,0.023305575,-1.632540181
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,146113,0.02599827,-1.585055549
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,60360.44,0.011016834,-1.957943211
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,64279.06667,0.01169982,-1.931820807
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,50123,0.008918517,-2.04970735
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0812_15,21286.81333,0.003885215,-2.410584956
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0812_15,20030.36667,0.003645848,-2.438201469
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0812_15,227665.5,0.040509121,-1.392447183
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0812_15,38607.64,0.007046568,-2.152022353
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0812_15,0,1.00E-05,-5
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0812_15,8983.318667,0.001598425,-2.796307601
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,45285.37333,0.008265371,-2.082737656
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,57249.16667,0.010420266,-1.982121199
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,44444.58533,0.007908142,-2.101925548
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,23010.08,0.004199741,-2.376777479
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,46861.63333,0.008529568,-2.069072947
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,8980.411333,0.001597908,-2.796448178
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,67394.34,0.012300643,-1.910072183
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,57884.83333,0.010535967,-1.977325582
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,786.478,0.00013994,-3.854057828
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,14423.44667,0.002632531,-2.579626555
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,26896.86667,0.004895661,-2.310188679
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,51055.99267,0.009084527,-2.041697682
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,109058.74,0.019905123,-1.701035132
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,141234,0.025706852,-1.589951109
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,138633.8,0.024667476,-1.607875279
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0812_15,7685.813333,0.001402795,-2.853005776
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0812_15,0,1.00E-05,-5
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0812_15,786.478,0.00013994,-3.854057828
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,12800.61333,0.002336335,-2.631464829
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,0,1.00E-05,-5
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,23548.19267,0.004189992,-2.377786826
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0812_15,5148.52,0.000939695,-3.027013204
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0812_15,0,1.00E-05,-5
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,PP_0812_15,786.478,0.00013994,-3.854057828
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,227048.4,0.041440295,-1.382577162
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,146727.2333,0.026706708,-1.57337964
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,220927.8667,0.039310276,-1.405493908
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,58644.27333,0.010703603,-1.970469999
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,140755.5667,0.025619769,-1.591424789
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,93065.43333,0.016559377,-1.780956003
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,102437.1733,0.018696572,-1.728238022
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,82293,0.014978645,-1.824527474
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,113136.4333,0.020130663,-1.696141924
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,6864.693333,0.001252926,-2.902074467
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,10823.93333,0.001970129,-2.70550526
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,35712.38533,0.006354399,-2.196925548
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,354062,0.064622493,-1.18961629
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,303268.2667,0.055199685,-1.2580634
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,310241.9,0.055202157,-1.258043955
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,79715.37333,0.014549447,-1.837153524
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,96034.8,0.017479873,-1.757461732
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,102752.7667,0.01828307,-1.737950883
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,177193,0.032340814,-1.490249047
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,151904.3333,0.027649023,-1.558320206
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,157499,0.028024211,-1.552466606
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,376477.84,0.068713775,-1.16295619
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,462712.3333,0.084221061,-1.074579293
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,432147.4927,0.076893139,-1.114112409
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,44012.64,0.008033075,-2.095118189
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,60742.3,0.011056072,-1.956399136
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,97365.93333,0.017324576,-1.761337376
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,65883.64,0.012024914,-1.919918023
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,50148.4,0.009127813,-2.039633287
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,40689.69267,0.007240024,-2.140259997
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,6864.693333,0.001252926,-2.902074467
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,38287.2,0.006968884,-2.156836762
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,55418.626,0.009860782,-2.006088653
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,9194770,1.678205972,0.224845262
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,9295296.333,1.691892912,0.228372871
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,8845984.667,1.573989299,0.197001775
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,4135595.667,0.754818374,-0.122157536
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,2473333.333,0.450186308,-0.346607718
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,2096928.826,0.373112057,-0.428160717
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,6864.693333,0.001252926,-2.902074467
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,0,1.00E-05,-5
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,15499.94467,0.002757946,-2.559414259
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,54436.66667,0.009935642,-2.002804084
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,55299.33333,0.010065365,-1.997170473
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,43024.35933,0.007655437,-2.116029995
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812_15,75294.26667,0.013742518,-1.8619337
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812_15,79843.8,0.014532851,-1.837649171
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812_15,60850.89267,0.010827359,-1.965477453
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812_15,919784.4667,0.167876715,-0.775009537
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812_15,732065.9333,0.133247733,-0.875340171
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812_15,628621.226,0.111852227,-0.951355366
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812_15,82636.34,0.015082574,-1.821524534
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812_15,81447.83333,0.014824811,-1.829010833
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812_15,67499.39267,0.012010344,-1.920444542
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812_15,237408.3333,0.043331164,-1.363199649
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812_15,116126.3333,0.021136854,-1.674959655
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812_15,236066.3333,0.042003903,-1.376710352
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812_15,100082.2333,0.018266754,-1.73833862
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812_15,114296.1,0.020803722,-1.681858957
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812_15,70677.96667,0.012575916,-1.90046036
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812_15,1885891.667,0.344208138,-0.463178867
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812_15,1626012,0.295960245,-0.528766622
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812_15,1812709,0.322540076,-0.491416316
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812_15,3253333.333,0.593790103,-0.226367045
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812_15,3390000,0.617034333,-0.209690671
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812_15,3356666.667,0.597260521,-0.223836191
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812_15,244058.4,0.044544917,-1.351201848
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812_15,241152.3333,0.04389359,-1.3575989
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812_15,230295.3,0.040977048,-1.387459332
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812_15,584408,0.106664658,-0.971979456
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812_15,629960.0667,0.114662829,-0.940577348
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812_15,508015.3333,0.090392503,-1.043867586
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812_15,75816.50667,0.013837835,-1.858931838
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812_15,49851.8,0.009073827,-2.042209525
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812_15,101059.4333,0.017981771,-1.745167548
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812_15,112844.6467,0.020596117,-1.686214647
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812_15,89207.03333,0.01623711,-1.789491272
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812_15,110575.3927,0.01967497,-1.706085917
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812_15,10166666.67,1.855594073,0.268482977
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812_15,11433333.33,2.081049913,0.318282497
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812_15,10186666.67,1.81254037,0.258287688
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812_15,1200232.333,0.219063345,-0.659430286
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812_15,1055985.667,0.192206316,-0.716232345
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812_15,1044712,0.185888352,-0.730747824
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812_15,257374.5667,0.04697535,-1.32812998
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812_15,237236.6333,0.04318087,-1.364708616
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812_15,246747.3333,0.043904401,-1.357491939
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812_15,391085,0.071379837,-1.146424449
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812_15,392678.3333,0.07147375,-1.14585343
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812_15,355573.6667,0.063268157,-1.198814817
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812_15,82844.68,0.0151206,-1.820430983
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812_15,59469.7,0.010824439,-1.965594621
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812_15,79363.23333,0.014121309,-1.850125054
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812_15,8306936,1.516160774,0.180745256
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812_15,8825339.333,1.606353205,0.205841044
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812_15,8149137,1.449997362,0.161367212
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812_15,5148.52,0.000939695,-3.027013204
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812_15,0,1.00E-05,-5
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812_15,786.478,0.00013994,-3.854057828
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812_15,12211297.8,2.228774933,0.348066215
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812_15,11613033.33,2.113758193,0.325055304
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812_15,12676752.8,2.25560794,0.353263615
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812_15,5148.52,0.000939695,-3.027013204
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812_15,0,1.00E-05,-5
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812_15,786.478,0.00013994,-3.854057828
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812_15,5148.52,0.000939695,-3.027013204
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812_15,0,1.00E-05,-5
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812_15,786.478,0.00013994,-3.854057828
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0812_15,30443.14,0.005556404,-2.255206163
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0812_15,29266.23333,0.005326924,-2.273523538
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,PP_0812_15,43939.05933,0.007818192,-2.106893652
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812_15,323515.0667,0.059047145,-1.228801097
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812_15,291541.3333,0.053065195,-1.275190233
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812_15,313913.8,0.055855507,-1.252933999
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812_15,6864.693333,0.001252926,-2.902074467
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812_15,0,1.00E-05,-5
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812_15,786.478,0.00013994,-3.854057828
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812_15,275501.5067,0.050283832,-1.29857163
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812_15,281721,0.051277737,-1.290071147
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812_15,288576.8,0.051347228,-1.289482994
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812_15,107975.9667,0.019707498,-1.705368507
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812_15,106235.7333,0.019336606,-1.713619749
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812_15,94352.4,0.01678837,-1.774991455
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812_15,1631837.54,0.297838826,-0.526018688
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812_15,1650856.3,0.300482305,-0.522181097
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812_15,1809400.767,0.321951433,-0.492209637
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812_15,29971.07333,0.005470244,-2.261993312
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812_15,40356.06667,0.007345451,-2.133981538
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812_15,32895.39267,0.005853164,-2.232609332
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812_15,220608.0333,0.040264816,-1.395074285
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812_15,231395.9667,0.042117775,-1.375534584
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812_15,239395.9333,0.042596348,-1.370627638
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812_15,202098.3467,0.036886475,-1.433132847
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812_15,247084.3333,0.044973309,-1.347045159
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812_15,189191.652,0.033663368,-1.472842437
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812_15,1176442.34,0.214721256,-0.668124962
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812_15,1268362.667,0.230862334,-0.636646918
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812_15,1135989.593,0.202129614,-0.694370054
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812_15,130363.7333,0.023793656,-1.623538819
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812_15,142104.4667,0.02586529,-1.58728264
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812_15,123603.7667,0.021993143,-1.657712701
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812_15,302516.4667,0.055214534,-1.257946589
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812_15,296724.4,0.054008597,-1.267537108
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812_15,276029.9667,0.049114737,-1.308788174
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812_15,542145.7733,0.098951064,-1.004579532
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812_15,541608.4333,0.098581415,-1.006204951
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812_15,533903.5927,0.094998869,-1.022281564
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812_15,139578.5333,0.025475518,-1.593876978
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812_15,112651.7667,0.020504427,-1.688152362
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812_15,122654.4333,0.021824226,-1.661061157
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812_15,417327.9333,0.07616963,-1.118218153
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812_15,196270.3333,0.035724346,-1.447035709
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812_15,393200,0.069963109,-1.155130898
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,PP_0812_15,1108696.333,0.202356427,-0.693882997
