Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812,R2,1255116.733,0.028221317,-1.549422728
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812,R3,1273530.567,0.025685514,-1.590311747
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812,R1,3253333.333,0.068476047,-1.16446132
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812,R2,2896666.667,0.065131589,-1.186208326
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812,R3,3480000,0.070187233,-1.153741876
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812,R1,1162449.407,0.024467195,-1.611415823
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812,R2,773845.4667,0.017399926,-1.759452605
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812,R3,1267253.333,0.02555891,-1.592457678
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812,R1,607989.3333,0.012796938,-1.892893923
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812,R2,14404.2,0.000323879,-3.489617705
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812,R3,280932.8,0.005666062,-2.246718673
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812,R1,738440.4067,0.015542668,-1.80847443
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812,R2,1163946.067,0.026171343,-1.582173991
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812,R3,1012795.9,0.020426822,-1.689799186
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812,R1,120560000,2.537542685,0.404413356
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812,R2,69920000,1.572152142,0.196494572
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812,R3,130996666.7,2.642038394,0.421939125
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812,R1,15873333.33,0.334101368,-0.476121746
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812,R2,18960000,0.426315855,-0.370268515
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812,R3,9756863.9,0.196783702,-0.706010873
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812,R1,1226506.037,0.025815456,-1.588120193
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812,R2,1118593.667,0.025151594,-1.599434492
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812,R3,1010394.467,0.020378389,-1.690830161
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812,R1,1231661.073,0.025923959,-1.586298667
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812,R2,1007240.8,0.022647823,-1.644973539
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812,R3,1901439.9,0.038349657,-1.416238517
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812,R1,1750736,0.03684943,-1.433569221
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812,R2,1306695,0.029381055,-1.531932619
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812,R3,1548878.667,0.031238939,-1.505303722
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812,R1,4769014.667,0.100378055,-0.998361225
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812,R2,3538134.733,0.079555007,-1.099332481
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812,R3,4697227,0.094737175,-1.023479572
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812,R1,849589.6667,0.017882134,-1.747580661
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812,R2,595157.7333,0.01338213,-1.873474767
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812,R3,749973.9,0.015126033,-1.820274971
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812,R1,2429116.073,0.051127951,-1.291341615
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812,R2,2089787.067,0.04698889,-1.328004811
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812,R3,2770563.567,0.055878791,-1.252753001
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812,R1,25158.61,0.000529538,-3.27610324
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812,R2,51512.86667,0.001158268,-2.936191129
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812,R3,124699.7,0.002515036,-2.599455712
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812,R1,250950.7767,0.005282003,-2.277201339
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812,R2,765592.1333,0.017214349,-1.764109386
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812,R3,628948.8,0.012685108,-1.896705827
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812,R1,7882891.37,0.165918823,-0.780104341
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812,R2,13034801.4,0.293087685,-0.533002429
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812,R3,9443530.567,0.190464162,-0.72018673
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812,R1,6130000,0.129024027,-0.889329408
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812,R2,7036666.667,0.158219545,-0.800739869
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812,R3,5790000,0.116777035,-0.932642557
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812,R1,2049558.037,0.043139026,-1.365129662
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812,R2,2241468.067,0.05039944,-1.297574292
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812,R3,2090197.233,0.042156655,-1.375133852
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812,R1,2431495.667,0.051178036,-1.290916383
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812,R2,3983784.333,0.089575444,-1.047811029
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812,R3,3575483.667,0.072113019,-1.141986322
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812,R1,314357.4067,0.006616584,-2.179366185
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812,R2,1281119.667,0.028805993,-1.54051715
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812,R3,341347.4667,0.00688455,-2.162124436
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812,R1,820653.37,0.017273084,-1.762630126
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812,R2,1269333.667,0.028540985,-1.544531049
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812,R3,853805.2333,0.01722018,-1.763962308
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812,R1,22286224.7,0.469079682,-0.328753378
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812,R2,36048134.73,0.810542795,-0.09122405
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812,R3,36723530.57,0.740667531,-0.130376693
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812,R1,11443333.33,0.240858882,-0.618237334
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812,R2,15436666.67,0.347093658,-0.459553322
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812,R3,12956666.67,0.261319709,-0.582827834
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812,R1,2170000,0.045674084,-1.340330149
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812,R2,1860600,0.041835616,-1.378453831
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812,R3,2076666.667,0.041883761,-1.377954328
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812,R1,4710000,0.099135916,-1.003768976
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812,R2,4413333.333,0.099233859,-1.003340118
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812,R3,5486666.667,0.110659182,-0.956012544
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812,R1,505340.7767,0.010636395,-1.973205539
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812,R2,333580.2,0.007500555,-2.124906583
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812,R3,330551.3667,0.006666806,-2.176082163
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812,R1,29026666.67,0.61095227,-0.213992717
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812,R2,42560000,0.956962173,-0.019105229
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812,R3,28013333.33,0.564993783,-0.247956331
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812,R1,34669.74,0.000729727,-3.136839298
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812,R2,23753.9,0.000534107,-3.272371924
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812,R3,10591.7,0.000213621,-3.670355449
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812,R1,141440000,2.977024199,0.473782365
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812,R2,133306666.7,2.997402195,0.476745021
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812,R3,161690000,3.261084414,0.513362041
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812,R1,8674.11,0.000182572,-3.738564958
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812,R2,152211.0667,0.003422468,-2.465660619
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812,R3,10591.7,0.000213621,-3.670355449
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812,R1,8674.11,0.000182572,-3.738564958
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812,R2,14404.2,0.000323879,-3.489617705
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812,R3,10591.7,0.000213621,-3.670355449
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812,R1,2225151,0.046834901,-1.329430395
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812,R2,2294213.333,0.051585418,-1.287473049
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812,R3,2226666.667,0.044909073,-1.347665912
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812,R1,8674.11,0.000182572,-3.738564958
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812,R2,14404.2,0.000323879,-3.489617705
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812,R3,10591.7,0.000213621,-3.670355449
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812,R1,3696666.667,0.077807311,-1.108979591
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812,R2,2443788.333,0.054948614,-1.260043261
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812,R3,1960394.467,0.039538697,-1.402977652
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812,R1,1470000,0.030940509,-1.509472548
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812,R2,1276922.667,0.028711623,-1.541942252
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812,R3,1043530.567,0.021046702,-1.676815945
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812,R1,9920525.037,0.208806866,-0.680255225
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812,R2,11944801.4,0.26857902,-0.570927915
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812,R3,11406863.9,0.230062132,-0.63815486
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812,R1,552050.37,0.011619537,-1.934811178
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812,R2,116934.4667,0.002629273,-2.580164309
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812,R3,10591.7,0.000213621,-3.670355449
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812,R1,2086666.667,0.043920087,-1.357336804
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812,R2,2956666.667,0.06648069,-1.177304483
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812,R3,2263333.333,0.045648593,-1.340572601
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812,R1,5189558.037,0.109229637,-0.96165951
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812,R2,6026666.667,0.135509681,-0.868029677
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812,R3,5936863.9,0.119739095,-0.921764027
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812,R1,10852891.37,0.22843128,-0.641244427
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812,R2,8479680,0.190665719,-0.719727384
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812,R3,11320197.23,0.228314174,-0.641467127
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812,R1,2898675.333,0.061011218,-1.214590308
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812,R2,3143018,0.070670802,-1.15075998
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812,R3,3475922.667,0.070104999,-1.154251015
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812,R1,3493648,0.073534182,-1.133510737
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812,R2,3089617.667,0.069470095,-1.158202108
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812,R3,3364764,0.067863068,-1.168366511
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812,R1,801565.48,0.016871322,-1.772850877
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812,R2,1022538.933,0.022991802,-1.638426995
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812,R3,1073305.167,0.021647218,-1.6645979
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812,R1,1864413.667,0.039242114,-1.406247605
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812,R2,2198268,0.049428086,-1.30602621
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812,R3,1843333.333,0.03717772,-1.429717244
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812,R1,2306897.37,0.048555496,-1.313761609
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812,R2,3887539,0.087411367,-1.058432089
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812,R3,4636666.667,0.093515749,-1.029115245
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,PP_0812,R1,17196666.67,0.361954842,-0.44134561
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,PP_0812,R2,24046666.67,0.540689624,-0.267051965
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,PP_0812,R3,19876666.67,0.400887426,-0.396977566
