Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
Q88FH2,NUOG_PSEPK,Nuog,NADH-quinone oxidoreductase subunit G,0.09030691272222222,207.0
Q88MH1,Q88MH1_PSEPK,Omph,Outer membrane protein OmpH,0.09009404083333333,208.0
Q88G86,Q88G86_PSEPK,Pp_3839,"Alcohol dehydrogenase, zinc-containing",0.09009306622222223,209.0
Q88FR7,Q88FR7_PSEPK,Purb,Adenylosuccinate lyase,0.08900060027777777,210.0
Q88LE8,LEUC_PSEPK,Leuc,3-isopropylmalate dehydratase large subunit,0.0887790635,211.0
Q88LE7,LEUD_PSEPK,Leud,3-isopropylmalate dehydratase small subunit,0.08876869994444445,212.0
Q88IC0,Q88IC0_PSEPK,Ppic-2,Peptidyl-prolyl cis-trans isomerase C,0.08848044916666667,213.0
Q88RR9,SYGB_PSEPK,Glys,Glycine--tRNA ligase beta subunit,0.08837140661111112,214.0
Q88CQ2,ILVD_PSEPK,Ilvd,Dihydroxy-acid dehydratase,0.08809252655555555,215.0
Q88NG9,PUR7_PSEPK,Purc,Phosphoribosylaminoimidazole-succinocarboxamide synthase,0.08785755694444444,216.0
Q88QV6,PQQC_PSEPK,Pqqc,Pyrroloquinoline-quinone synthase,0.08766751016666667,217.0
Q88QD5,Q88QD5_PSEPK,Accb,"Acetyl-CoA carboxylase, biotin carboxyl carrier protein",0.0875245145,218.0
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,0.08697836083333334,219.0
Q88Q92,SYI_PSEPK,Iles,Isoleucine--tRNA ligase,0.08626144005555555,220.0
Q88MP1,DAPD_PSEPK,Dapd,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0.08593572866666667,221.0
Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0.08585209133333332,222.0
Q88EI8,SYA_PSEPK,Alas,Alanine--tRNA ligase,0.08508996911111111,223.0
Q88MS3,SYK_PSEPK,Lyss,Lysine--tRNA ligase,0.08455965094444445,224.0
Q88CE7,Q88CE7_PSEPK,Pp_5234,Nitrogen regulatory protein P-II,0.08378524455555555,225.0
Q88NJ7,Q88NJ7_PSEPK,Pp_1210,"DNA-binding stress protein, putative",0.083744833,226.0
Q88LD5,Q88LD5_PSEPK,Purf,Amidophosphoribosyltransferase,0.08289863688888889,227.0
Q88CV4,Q88CV4_PSEPK,Gltb,"Glutamate synthase, large subunit",0.08277656283333333,228.0
Q88M60,Q88M60_PSEPK,Fklb-2,Peptidyl-prolyl cis-trans isomerase,0.08264978361111111,229.0
Q88DN0,Q88DN0_PSEPK,Lpte,LPS-assembly lipoprotein LptE,0.08257774172222222,230.0
Q88Q24,Q88Q24_PSEPK,Pp_0674,"ABC transporter, ATP-binding protein",0.08243808761111111,231.0
Q88NH2,Q88NH2_PSEPK,Dapa,4-hydroxy-tetrahydrodipicolinate synthase,0.08211059022222222,232.0
Q88DM2,Q88DM2_PSEPK,Daca,D-alanyl-D-alanine carboxypeptidase,0.08164818411111112,233.0
Q88C80,Q88C80_PSEPK,Pp_5303,Endoribonuclease,0.08129281116666667,234.0
Q88CA0,RL33_PSEPK,Rpmg,50S ribosomal protein L33,0.07966209927777777,235.0
Q88RC0,DAVD_PSEPK,Davd,Glutarate-semialdehyde dehydrogenase DavD,0.0795868473888889,236.0
Q88DU3,DNAJ_PSEPK,Dnaj,Chaperone protein DnaJ,0.07949545522222222,237.0
Q88LM4,Q88LM4_PSEPK,Rne,Ribonuclease E,0.07923443061111111,238.0
Q88PS2,Q88PS2_PSEPK,Slyd,Peptidyl-prolyl cis-trans isomerase,0.0788120396111111,239.0
Q88QP6,Q88QP6_PSEPK,Nusg,Transcription termination/antitermination protein NusG,0.07875387883333333,240.0
Q88P76,SYV_PSEPK,Vals,Valine--tRNA ligase,0.07832515088888889,241.0
Q88NK2,SYP_PSEPK,Pros,Proline--tRNA ligase,0.07811624522222221,242.0
Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,0.07773733911111111,243.0
Q88F24,ZIPA_PSEPK,Zipa,Cell division protein ZipA,0.07643465155555557,244.0
Q88KQ7,Q88KQ7_PSEPK,Pp_2233,"Hydrolase, isochorismatase family",0.07594849811111111,245.0
Q88MD5,Q88MD5_PSEPK,Fpr,Ferredoxin--NADP reductase,0.07574527955555556,246.0
Q88LG1,Q88LG1_PSEPK,Tyrb-1,Aromatic-amino-acid aminotransferase,0.0754583151111111,247.0
Q88FC4,FABA_PSEPK,Faba,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,0.07538658011111112,248.0
Q88NY2,Q88NY2_PSEPK,Pp_1071,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.07449870388888889,249.0
Q88LR9,Q88LR9_PSEPK,Ohr,Organic hydroperoxide resistance protein,0.07347232233333333,250.0
Q88QU7,Q88QU7_PSEPK,Rpod,RNA polymerase sigma factor RpoD,0.07329493588888888,251.0
Q88R42,HIS4_PSEPK,Hisa,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,0.07298969616666667,252.0
Q88L36,Q88L36_PSEPK,Pp_2099,Uncharacterized protein,0.07264807955555556,253.0
Q88KI8,Q88KI8_PSEPK,Lon-2,Lon protease,0.07246028172222223,254.0
Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,0.07236457072222222,255.0
Q88K39,ASPQ_PSEPK,Ansb,Glutaminase-asparaginase,0.07206949866666666,256.0
Q88DD6,Q88DD6_PSEPK,Hflc,Protein HflC,0.07193689872222223,257.0
Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,0.07150179116666666,258.0
Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",0.07125572427777778,259.0
Q88KY8,STHA_PSEPK,Stha,Soluble pyridine nucleotide transhydrogenase,0.07068822527777778,260.0
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,0.07041490794444444,261.0
Q88QF3,Q88QF3_PSEPK,Pp_0541,"Acetyltransferase, GNAT family",0.07016744472222222,262.0
Q88RR8,SYGA_PSEPK,Glyq,Glycine--tRNA ligase alpha subunit,0.069861293,263.0
Q88HH9,Q88HH9_PSEPK,Kguk,2-ketogluconate kinase,0.06926266922222223,264.0
Q88DD7,HISZ_PSEPK,Hisz,ATP phosphoribosyltransferase regulatory subunit,0.06878256455555556,265.0
Q88EX0,Q88EX0_PSEPK,Chew,Purine-binding chemotaxis protein CheW,0.06827537466666667,266.0
Q88LZ1,Q88LZ1_PSEPK,Rmlb,"dTDP-glucose 4,6-dehydratase",0.06765699655555556,267.0
