Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,16426.8,0.000402935,-3.394765487
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,21729.2,0.000590331,-3.228904428
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,473868.7,0.010839381,-1.964995538
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,431087.7,0.010574192,-1.975752825
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,845803.3333,0.022978476,-1.638678773
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,330652.3667,0.007563418,-2.121281926
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,377839.7,0.009268066,-2.033010869
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,332062.3,0.009021347,-2.044728594
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,693573.7333,0.015864963,-1.799560924
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,630954.4,0.015476741,-1.810320483
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,229562.9,0.006236681,-2.205046463
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,658826.7,0.015070152,-1.82188237
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,745799,0.018293775,-1.73769666
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,262376.2333,0.007128142,-2.147023672
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,497953.7,0.011390306,-1.943464597
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,529071.7,0.012977651,-1.886803925
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812_15,203700.2667,0.005534055,-2.256956568
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,264172.0667,0.006042732,-2.218766667
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,201645.7333,0.004946188,-2.305729419
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812_15,260616.9333,0.007080346,-2.149945535
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,12442.1,0.000284603,-3.545759874
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,206209.7333,0.005058138,-2.296009296
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812_15,482346.6333,0.013104217,-1.882588914
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,1156211.333,0.026447441,-1.577616339
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,954702,0.023417977,-1.630450624
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812_15,2163440.333,0.058775557,-1.230803243
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,532808.6667,0.012187587,-1.914082281
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,642236.3333,0.015753477,-1.802623585
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812_15,327594.9667,0.00889998,-2.050610945
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,1094147.367,0.025027776,-1.601577742
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,388213.4,0.009522524,-2.021247935
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812_15,380864.6,0.01034719,-1.985177557
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,931628.0667,0.021310272,-1.671410997
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,16426.8,0.000402935,-3.394765487
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812_15,210350.9,0.005714736,-2.243003791
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,1344370.033,0.030751426,-1.512134738
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,1316470.033,0.03229182,-1.490907479
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812_15,1117620.967,0.030363119,-1.517653625
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,1314147.367,0.030060106,-1.522009492
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,4308213.4,0.10567658,-0.976021249
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812_15,4985432.3,0.135442405,-0.868245342
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,1450308.333,0.033174683,-1.479193219
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,1209114.667,0.02965849,-1.527850967
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812_15,1120863.3,0.030451205,-1.516395516
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,3470000,0.07937357,-1.100324086
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,3566666.667,0.087487109,-1.058055934
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,PP_0812_15,3286666.667,0.089290961,-1.049192505
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,736343.4,0.016843287,-1.773573163
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,1591474.667,0.039037435,-1.408518727
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,PP_0812_15,1296585,0.035225148,-1.453147172
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,663413.3333,0.015175068,-1.818869365
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,608242.3333,0.014919635,-1.826241813
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,PP_0812_15,514741.2667,0.013984303,-1.854359179
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,1501762.033,0.034351647,-1.464052441
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,843233.7,0.02068376,-1.684370502
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,PP_0812_15,1157642.633,0.031450413,-1.502373653
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,100076666.7,2.289176455,0.35967927
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,84093333.33,2.062733449,0.314443111
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,PP_0812_15,58926666.67,1.600898175,0.204363709
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,5084147.367,0.116295944,-0.934435431
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,5197440.033,0.127488506,-0.894528969
P00761,TRYP_PIG,Tryp_pig,Trypsin,PP_0812_15,4508765.633,0.122492499,-0.911890504
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,12442.1,0.000284603,-3.545759874
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,991488.6667,0.024320321,-1.614030702
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",PP_0812_15,152595.6,0.004145662,-2.382406154
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,1078490.733,0.024669643,-1.607837143
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,1614880.067,0.039611548,-1.402178183
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,PP_0812_15,2038363.3,0.05537751,-1.256666574
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812_15,1250000,0.028592785,-1.543743548
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812_15,1359285,0.033342032,-1.477007932
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,PP_0812_15,1616666.667,0.04392101,-1.357327682
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812_15,5162143.333,0.118080042,-0.927823502
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812_15,3452268.033,0.084681014,-1.07221395
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,PP_0812_15,5751122.667,0.156244402,-0.806195535
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812_15,946189.3667,0.021643351,-1.664675498
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812_15,927408.6667,0.022748496,-1.643047306
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,PP_0812_15,597225.9667,0.016225217,-1.789809483
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812_15,735775.4333,0.016830295,-1.773908278
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812_15,2112354.833,0.051814155,-1.285551584
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,PP_0812_15,1557531.267,0.042314441,-1.373511392
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812_15,16589.46667,0.000379471,-3.420821137
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812_15,20129.76667,0.000493765,-3.306479716
P0A128,IHFB_PSEPK,Ihfb,Integration host factor subunit beta,PP_0812_15,21729.2,0.000590331,-3.228904428
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812_15,385587.4,0.008820014,-2.054530727
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812_15,399501.4,0.009799408,-2.008800151
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,PP_0812_15,304907.9,0.008283627,-2.081779489
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812_15,6070814.033,0.138865182,-0.857406632
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812_15,5277440.033,0.129450833,-0.887895149
P0A136,KAD_PSEPK,Adk,Adenylate kinase,PP_0812_15,4942098.967,0.134265141,-0.872036727
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812_15,8920000,0.204038111,-0.690288707
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812_15,3446666.667,0.084543618,-1.072919173
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,PP_0812_15,3383333.333,0.091917165,-1.036603378
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812_15,1927480.7,0.044089632,-1.355663523
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812_15,1827440.033,0.044825452,-1.348475322
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,PP_0812_15,2218765.633,0.060278615,-1.219836735
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812_15,3668272.333,0.083908896,-1.076191991
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812_15,2735754.667,0.067105589,-1.173241308
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,PP_0812_15,2027731.333,0.055088665,-1.258937753
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812_15,359108.7667,0.008214336,-2.085427554
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812_15,98900.43333,0.002425938,-2.615120262
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,PP_0812_15,21729.2,0.000590331,-3.228904428
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812_15,247162.1,0.005653642,-2.247671685
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812_15,405532.0667,0.009947335,-2.002293256
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,PP_0812_15,1178765.633,0.032024275,-1.4945207
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812_15,30837480.7,0.705383553,-0.15157467
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812_15,24584106.7,0.603025914,-0.219664024
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,PP_0812_15,19785432.3,0.537523404,-0.269602622
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812_15,12846666.67,0.293857578,-0.531863106
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812_15,8610000,0.211195517,-0.675315305
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,PP_0812_15,8256666.667,0.224314107,-0.649143414
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812_15,1400814.033,0.032042539,-1.494273077
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812_15,2026666.667,0.049712301,-1.303536132
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,PP_0812_15,2056666.667,0.055874769,-1.252784256
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812_15,4150000,0.094928045,-1.022605464
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812_15,4186666.667,0.102695149,-0.988450072
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,PP_0812_15,3906666.667,0.106134894,-0.974141808
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812_15,1010567.367,0.023115948,-1.636088291
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812_15,282712.4333,0.00693468,-2.158973548
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,PP_0812_15,623805.9333,0.016947332,-1.770898664
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812_15,12516666.67,0.286309083,-0.543164874
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812_15,11904106.7,0.291996976,-0.534621646
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,PP_0812_15,9938765.633,0.270012758,-0.568615716
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812_15,12442.1,0.000284603,-3.545759874
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812_15,12320.1,0.000302201,-3.519704224
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",PP_0812_15,16296.9,0.000442748,-3.353843165
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812_15,102673333.3,2.3485732,0.370804101
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812_15,90863100,2.228789705,0.348069093
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,PP_0812_15,72495410.33,1.969528851,0.294362347
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812_15,12442.1,0.000284603,-3.545759874
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812_15,66937.06667,0.001641906,-2.78465178
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",PP_0812_15,16296.9,0.000442748,-3.353843165
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812_15,12442.1,0.000284603,-3.545759874
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812_15,12320.1,0.000302201,-3.519704224
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",PP_0812_15,16296.9,0.000442748,-3.353843165
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812_15,2933333.333,0.067097734,-1.173292144
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812_15,1920773.367,0.047114834,-1.326842331
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,PP_0812_15,2073333.333,0.056327563,-1.249279035
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812_15,12442.1,0.000284603,-3.545759874
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812_15,12320.1,0.000302201,-3.519704224
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,PP_0812_15,16296.9,0.000442748,-3.353843165
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812_15,3913333.333,0.089514478,-1.048106719
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812_15,3306666.667,0.081109544,-1.090928039
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,PP_0812_15,2380960.333,0.064685061,-1.189196005
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812_15,1057312.667,0.024185211,-1.616450126
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812_15,1366666.667,0.033523098,-1.474655855
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,PP_0812_15,1430000,0.038849718,-1.410612128
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812_15,11947480.7,0.273289393,-0.563377223
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812_15,9045910.7,0.221888012,-0.65386616
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,PP_0812_15,7940864.6,0.215734511,-0.666080375
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812_15,370490.0333,0.008474673,-2.071877032
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812_15,308981.3667,0.007579034,-2.120386167
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",PP_0812_15,232362.6,0.006312742,-2.199781938
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812_15,2216666.667,0.050704538,-1.294953171
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812_15,2633333.333,0.064593286,-1.18981262
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,PP_0812_15,2086666.667,0.056689798,-1.246495087
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812_15,4577480.7,0.104706336,-0.980027039
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812_15,4116666.667,0.100978112,-0.995772754
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,PP_0812_15,4018765.633,0.109180358,-0.961855486
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812_15,11287625.33,0.258195711,-0.588050976
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812_15,13423634.67,0.329269624,-0.482448333
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,PP_0812_15,12025237.67,0.326697268,-0.485854497
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812_15,3255388.667,0.074464501,-1.128050714
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812_15,3631449.333,0.089076169,-1.050238467
P59612,ARGJ_PSEPK,Argj,Arginine biosynthesis bifunctional protein ArgJ,PP_0812_15,2778877,0.075495516,-1.122078841
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812_15,3510450.333,0.08029884,-1.095290728
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812_15,3446483.667,0.084539129,-1.072942232
P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,PP_0812_15,3503969.333,0.09519456,-1.021387869
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812_15,2038122,0.046620467,-1.331423384
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812_15,690105.1,0.016927654,-1.77140322
P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,PP_0812_15,746109.9,0.020270041,-1.693145363
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812_15,1428294.733,0.032671139,-1.485835726
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812_15,1749395.333,0.042911086,-1.367430493
Q59692,FTSZ_PSEPK,Ftsz,Cell division protein FtsZ,PP_0812_15,1390000,0.037763013,-1.422933365
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812_15,2511774.033,0.057454891,-1.240672995
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812_15,5036666.667,0.12354488,-0.908175247
Q877U6,Q877U6_PSEPK,Pp_1157,Acetolactate synthase,PP_0812_15,4046666.667,0.109938363,-0.958850733
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,PP_0812_15,12190000,0.278836835,-0.554649855
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,PP_0812_15,15400000,0.377748079,-0.422797736
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,PP_0812_15,15306666.67,0.415845934,-0.381067541
Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,PP_0812_15,4916666.667,0.112464953,-0.948982796
Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,PP_0812_15,5830000,0.14300463,-0.844649902
Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,PP_0812_15,5206666.667,0.14145282,-0.849388391
