Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0751,R2,1330000,0.027792465,-1.556072926
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0751,R3,1870000,0.039604027,-1.402260657
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R1,654339.6,0.013375708,-1.873683218
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R2,1626666.667,0.034463429,-1.462641511
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R3,2030000,0.043231819,-1.364196491
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0368,R1,1828163.667,0.038777183,-1.411423746
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0368,R2,1291589.767,0.026849305,-1.57106695
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0368,R3,1952748,0.041207413,-1.385024648
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0751,R1,1493920.667,0.029848039,-1.525084203
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0751,R2,1846464.667,0.038584816,-1.413583565
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0751,R3,1641616.333,0.034767175,-1.458830599
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R1,1381616.933,0.028242376,-1.549098775
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R2,1015265.367,0.021509955,-1.667360507
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R3,2111485.667,0.044967175,-1.347104391
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0368,R1,528326.1,0.011206326,-1.950536754
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0368,R2,754496.7667,0.015684325,-1.804534162
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0368,R3,1087800.333,0.022955055,-1.639121662
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0751,R1,654074.6,0.013068193,-1.883784454
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0751,R2,793983.5667,0.016591549,-1.780113053
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0751,R3,1054256.333,0.022327698,-1.651156045
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R1,167463.1333,0.003423204,-2.46556721
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R2,684029.7333,0.014492219,-1.838865098
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R3,481991.5,0.010264714,-1.988653149
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0368,R1,13993.7,0.00029682,-3.527506261
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0368,R2,10397.3,0.000216137,-3.66527097
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0368,R3,9949.98,0.000209967,-3.677848641
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0751,R1,17522.8,0.0003501,-3.455808234
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0751,R2,85251.29333,0.001781461,-2.74922359
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0751,R3,34483.93333,0.000730322,-3.136485466
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R1,28341.8,0.00057935,-3.237058994
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R2,25153.1,0.000532907,-3.273348561
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R3,257041.1667,0.005474068,-2.261689845
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0368,R1,305458.5667,0.006479082,-2.18848651
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0368,R2,336896.4333,0.007003334,-2.154695132
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0368,R3,238244.66,0.005027503,-2.298647674
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0751,R1,191602.8667,0.003828162,-2.417009736
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0751,R2,235336.6467,0.004917734,-2.308235006
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0751,R3,241151.1667,0.00510725,-2.291812896
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R1,28341.8,0.00057935,-3.237058994
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R2,221534.4,0.004693546,-2.328498905
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R3,206255.1667,0.004392505,-2.357287692
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0368,R1,1287997.9,0.027319726,-1.563523665
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0368,R2,1051121.667,0.021850503,-1.660538557
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0368,R3,1152521.667,0.024320822,-1.614021751
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0751,R1,1109174.267,0.022160933,-1.654411953
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0751,R2,1101260,0.023012579,-1.638034702
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0751,R3,1134229.667,0.024021423,-1.619401261
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R1,1276113.933,0.026085732,-1.583596972
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R2,1438384.367,0.03047438,-1.516065124
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R3,994447,0.021178203,-1.674110886
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0368,R1,1118317,0.023720624,-1.624873893
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0368,R2,774068.4333,0.016091177,-1.793412188
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0368,R3,1163470,0.024551857,-1.60991566
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0751,R1,1082507.6,0.021628142,-1.664980784
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0751,R2,1486666.667,0.031066265,-1.507710963
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0751,R3,892732.3333,0.018906842,-1.723380999
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R1,886991.3333,0.018131467,-1.741567046
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R2,1054055.667,0.022331787,-1.651076531
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R3,975430,0.020773208,-1.68249642
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0368,R1,345607.0333,0.007330671,-2.134856248
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0368,R2,1070724.433,0.022258002,-1.652513832
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0368,R3,903938.66,0.019075157,-1.719531888
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0751,R1,1291681.867,0.025807375,-1.588256175
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0751,R2,1379241.96,0.028821455,-1.540284106
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0751,R3,1016169.833,0.021521079,-1.667135965
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R1,1078894.533,0.022054264,-1.65650743
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R2,1270686.4,0.026921441,-1.569901696
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R3,756537.8333,0.01611158,-1.792861877
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0368,R1,18658.26667,0.000395761,-3.402567524
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0368,R2,13863.06667,0.000288183,-3.540332233
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0368,R3,699966.6533,0.014770884,-1.830593499
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0751,R1,108866.8,0.002175122,-2.662516281
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0751,R2,10363.92,0.000216571,-3.664400515
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0751,R3,626285.5,0.013263865,-1.877329906
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R1,37789.06667,0.000772467,-3.112120257
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R2,33537.46667,0.000710543,-3.148409824
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R3,198507.5,0.004227508,-2.373915609
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0368,R1,128183.1333,0.002718893,-2.565607937
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0368,R2,343924.1,0.007149424,-2.145728936
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0368,R3,301837.6533,0.006369459,-2.195897433
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0751,R1,943973.6667,0.01886028,-1.724451859
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0751,R2,1212393.333,0.025334887,-1.596281027
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0751,R3,327786.1667,0.00694206,-2.158511642
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R1,378894.5333,0.007745187,-2.110968083
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R2,939442.3333,0.019903527,-1.701069951
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R3,313553.6667,0.006677584,-2.175380645
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0368,R1,266805.2333,0.005659206,-2.247244476
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0368,R2,468030,0.009729312,-2.011917854
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0368,R3,511837,0.010800922,-1.966539172
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0751,R1,181772.9333,0.003631763,-2.439882522
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0751,R2,209372.6667,0.004375175,-2.359004582
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0751,R3,342743,0.007258825,-2.139133669
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R1,157714.5333,0.003223928,-2.491614707
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R2,153354.3667,0.003249048,-2.488243931
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R3,406975.5,0.008667139,-2.062124263
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0368,R1,18658.26667,0.000395761,-3.402567524
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0368,R2,279638.2,0.005813062,-2.235595047
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0368,R3,288501.3133,0.006088032,-2.215523055
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0751,R1,425611.9333,0.008503585,-2.070397942
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0751,R2,450453.3133,0.009412938,-2.026274781
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0751,R3,632197.5,0.013389073,-1.873249489
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R1,191911.1333,0.003922959,-2.406386252
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R2,125709.4333,0.002663347,-2.574572209
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R3,633218,0.013485303,-1.870139277
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0368,R1,160474.4333,0.003403823,-2.468032969
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0368,R2,173863.8667,0.003614247,-2.441982211
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0368,R3,333485.66,0.007037304,-2.152593685
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0751,R1,330118.1667,0.006595651,-2.180742314
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0751,R2,263306.3133,0.005502204,-2.259463294
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0751,R3,477659.5333,0.010116172,-1.994983813
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R1,37789.06667,0.000772467,-3.112120257
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R2,417435.3667,0.008844009,-2.053350837
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R3,754068.3333,0.016058988,-1.794281825
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0368,R1,501765.5667,0.01064295,-1.972937965
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0368,R2,518607.4333,0.010780706,-1.967352808
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0368,R3,690166.9933,0.014564089,-1.836716664
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0751,R1,665492.3333,0.013296316,-1.876268681
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0751,R2,402203.98,0.008404692,-2.075478203
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0751,R3,690013.6667,0.01461354,-1.835244571
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R1,102506.8667,0.002095398,-2.678733464
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R2,605088.7,0.012819733,-1.892121035
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R3,696664.5,0.014836489,-1.828668848
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0368,R1,268468.5667,0.005694487,-2.244545376
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0368,R2,219425.2,0.004561366,-2.340905042
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0368,R3,413483.3333,0.008725436,-2.059212841
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0751,R1,305958.5333,0.00611295,-2.213749168
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0751,R2,248526.6267,0.005193359,-2.284551642
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0751,R3,393030.1667,0.008323838,-2.079676378
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R1,28341.8,0.00057935,-3.237058994
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R2,243419.4,0.005157213,-2.28758489
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R3,258288.3333,0.005500628,-2.259587739
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0368,R1,61705.13333,0.001308828,-2.883117525
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0368,R2,299263.7667,0.006221034,-2.206137407
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0368,R3,9949.98,0.000209967,-3.677848641
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0751,R1,120854.2667,0.002414628,-2.617149751
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0751,R2,7772.94,0.000162428,-3.789339251
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0751,R3,11638.5,0.000246487,-3.608205252
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R1,28341.8,0.00057935,-3.237058994
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R2,25153.1,0.000532907,-3.273348561
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R3,11231.5,0.000239191,-3.621254767
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0368,R1,867770,0.018406271,-1.735034188
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0368,R2,1152174.667,0.023951172,-1.620673223
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0368,R3,978210.3333,0.020642457,-1.685238603
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0751,R1,1175083,0.023477768,-1.629343195
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0751,R2,1248025.667,0.026079481,-1.58370105
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0751,R3,2626941,0.055634995,-1.254651944
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R1,3046085.667,0.062266677,-1.20574431
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R2,2491576.667,0.052787875,-1.277465823
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R3,1650407.333,0.035147838,-1.454101384
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0368,R1,589265.3333,0.012498908,-1.903127928
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0368,R2,526392.4333,0.010942539,-1.960881907
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0368,R3,560903.6667,0.01183634,-1.92678257
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0751,R1,507951.6667,0.010148706,-1.993589348
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0751,R2,471873,0.009860537,-2.006099439
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0751,R3,403345.1667,0.008542296,-2.068425406
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R1,323824.3333,0.006619468,-2.179176943
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R2,789619,0.01672929,-1.776522488
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R3,717068.6667,0.015271026,-1.816131783
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0368,R1,859322.9,0.0182271,-1.739282434
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0368,R2,875074.1,0.018190862,-1.740146715
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0368,R3,1454190.333,0.030686715,-1.513049596
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0751,R1,1253381,0.025042136,-1.601328631
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0751,R2,1200911.333,0.025094952,-1.600413623
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0751,R3,1353333.333,0.028661738,-1.542697484
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R1,331015.5333,0.006766467,-2.169638049
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R2,410102.0667,0.008688642,-2.06104812
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R3,675825.8333,0.0143927,-1.84185774
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0368,R1,717319.5667,0.015215067,-1.817726142
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0368,R2,844377.8667,0.017552755,-1.755654704
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0368,R3,1080613.993,0.022803407,-1.642000262
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0751,R1,2636566.667,0.052677726,-1.278372981
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0751,R2,1721121.667,0.035965575,-1.444112995
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0751,R3,2184051.667,0.046255209,-1.334839355
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R1,175870.1333,0.003595056,-2.44429433
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R2,638526.4,0.013528162,-1.86876122
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R3,918668,0.019564379,-1.70853394
