Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_3416,R2,29924.88,0.002959873,-2.528726909
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_3416,R3,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_5313,R1,7804.75,0.000775654,-3.110331718
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_5313,R2,127497.2,0.012654327,-1.897760932
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_5313,R3,6554.91,0.000647249,-3.188928562
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815_NT,R1,92191.54333,0.008727136,-2.059128248
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815_NT,R2,4082.88,0.00039148,-3.407290756
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815_NT,R3,35892.09333,0.003610601,-2.442420542
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815_Target,R1,108851.9867,0.011087684,-1.95515917
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815_Target,R2,27896.01333,0.002830758,-2.548097282
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815_Target,R3,37217.582,0.003936283,-2.404913691
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0378,R1,632376.0,0.058847944,-1.230268708
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0378,R2,294597.0,0.031471404,-1.502083886
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0378,R3,335621.0,0.034934238,-1.456748729
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0379,R1,719390.6667,0.062214635,-1.206107445
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0379,R2,375100.7333,0.037138897,-1.430171004
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0379,R3,520911.3333,0.048651833,-1.312900794
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_1,R1,748951.3333,0.070255352,-1.153320588
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_1,R2,963862.3333,0.089352468,-1.048893446
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_1,R3,809746.3333,0.075772774,-1.120486813
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_2,R1,1448245.667,0.127851732,-0.893293384
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_2,R2,984110.79,0.088525002,-1.052934056
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_2,R3,1155056.967,0.104731241,-0.979923751
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_3,R1,497946.3333,0.049159087,-1.308396193
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_3,R2,241068.1,0.027131105,-1.566532519
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0977_3,R3,415553.3333,0.042299177,-1.373668078
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0986,R1,76556.0,0.00956373,-2.01937268
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0986,R2,94163.23333,0.011503747,-1.939160696
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0986,R3,183168.7,0.019883956,-1.701497199
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1018,R1,573515.7567,0.056800432,-1.245648364
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1018,R2,924130.3333,0.084652607,-1.072359661
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1018,R3,987689.0,0.091581153,-1.038193893
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1593,R1,227937.1067,0.023149401,-1.635460247
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1593,R2,143474.0,0.01024367,-1.989544432
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1593,R3,369285.6667,0.035898823,-1.444919788
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_1,R1,734737.6667,0.070115358,-1.154186841
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_1,R2,840086.3333,0.076972334,-1.113665342
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_1,R3,563896.3467,0.053819638,-1.269059226
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_2,R1,981918.3333,0.091839749,-1.036969313
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_2,R2,633184.5,0.061531986,-1.210899069
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_2,R3,696141.8333,0.067743205,-1.169134258
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_3,R1,1109441.267,0.074998263,-1.124948795
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_3,R2,737748.0,0.069836298,-1.155918791
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1638_3,R3,807943.0,0.075606596,-1.121440316
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1982,R1,753595.6667,0.073260559,-1.13512977
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1982,R2,482179.3333,0.05278613,-1.277480181
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_1982,R3,671681.81,0.065067491,-1.186635942
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2664,R1,582738.6667,0.060744944,-1.216489863
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2664,R2,772673.0,0.074158029,-1.129841823
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2664,R3,778696.6667,0.07560767,-1.121434146
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2665,R1,436997.0967,0.045636755,-1.340685239
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2665,R2,727715.3333,0.073855186,-1.131619003
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2665,R3,561617.3333,0.057398669,-1.241098177
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2680,R1,547207.6667,0.053356618,-1.272811704
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2680,R2,672664.6667,0.064645856,-1.189459309
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_2680,R3,804241.6667,0.075159401,-1.124016689
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_3379,R1,549667.6667,0.054247676,-1.265618863
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_3379,R2,909810.3333,0.084973139,-1.070718338
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_3379,R3,847449.0,0.077427816,-1.111102992
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_3416,R1,385257.4733,0.038880767,-1.410265181
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_3416,R2,464899.3333,0.045983243,-1.337400403
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_3416,R3,487914.0,0.04964378,-1.304135161
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_5313,R1,318787.25,0.031681828,-1.499189771
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_5313,R2,426895.6667,0.042370166,-1.372939833
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_5313,R3,426143.6667,0.042078548,-1.375939257
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815_NT,R1,839806.0,0.079498629,-1.09964036
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815_NT,R2,751253.0,0.07203256,-1.142471152
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815_NT,R3,555816.6667,0.055912928,-1.252487765
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815_Target,R1,927827.3333,0.094508666,-1.024528367
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815_Target,R2,970933.0,0.09852577,-1.006450161
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815_Target,R3,914485.0,0.096719656,-1.014485258
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0378,R1,752675.2667,0.070042809,-1.154636442
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0378,R2,531591.6667,0.056789227,-1.245734041
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0378,R3,626751.3333,0.065237515,-1.185502589
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0379,R1,789826.0333,0.068306054,-1.1655408
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0379,R2,477810.0,0.047308188,-1.325063682
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0379,R3,696057.3333,0.065010037,-1.187019587
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_1,R1,693634.7667,0.065066383,-1.186643333
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_1,R2,618763.7,0.057360955,-1.241383627
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_1,R3,626756.0333,0.058649285,-1.23173728
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_2,R1,732582.0333,0.064672648,-1.189279358
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_2,R2,768966.4333,0.069171841,-1.160070667
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_2,R3,707127.3,0.064116595,-1.193029551
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_3,R1,181845.2867,0.017952433,-1.745876683
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_3,R2,0.0,1e-05,-5.0
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0977_3,R3,264942.4917,0.026968499,-1.569143232
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0986,R1,188780.6667,0.023583356,-1.627394398
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0986,R2,430671.6667,0.052614354,-1.278895757
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0986,R3,661247.1667,0.071781968,-1.143984638
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1018,R1,367543.9367,0.036401187,-1.438884456
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1018,R2,542043.2833,0.049652495,-1.30405892
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1018,R3,350152.94,0.032467113,-1.488556333
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1593,R1,580262.5733,0.058931742,-1.229650719
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1593,R2,300091.6667,0.021425763,-1.669063703
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1593,R3,746455.9333,0.07256412,-1.139278065
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_1,R1,736218.9,0.070256711,-1.153312184
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_1,R2,730710.6667,0.066950864,-1.174243815
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_1,R3,485462.3467,0.046333707,-1.334102956
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_2,R1,683844.1,0.063960584,-1.194087578
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_2,R2,699141.11,0.067941557,-1.167864504
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_2,R3,512589.3333,0.049881278,-1.302062426
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_3,R1,279274.0667,0.018878935,-1.724022502
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_3,R2,463382.0,0.043864414,-1.357887672
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1638_3,R3,684308.8667,0.064037022,-1.193568871
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1982,R1,608821.3,0.059186366,-1.227778325
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1982,R2,239474.0,0.026216191,-1.581430404
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_1982,R3,688244.4767,0.066671957,-1.176056794
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2664,R1,535262.3333,0.05579599,-1.253397016
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2664,R2,647728.3,0.062166342,-1.206444688
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2664,R3,793904.1667,0.077084244,-1.113034381
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2665,R1,704333.2967,0.073555378,-1.133385571
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2665,R2,667608.3333,0.06775498,-1.16905878
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2665,R3,758949.6,0.077566511,-1.110325744
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2680,R1,693009.9733,0.067573375,-1.170224393
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2680,R2,725729.2333,0.06974558,-1.156483307
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_2680,R3,765702.0667,0.071557731,-1.145343439
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_3379,R1,725158.1,0.071567138,-1.145286351
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_3379,R2,766598.6667,0.071597665,-1.145101144
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_3379,R3,799322.3333,0.073030687,-1.136494616
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_3416,R1,807344.3,0.081478407,-1.088957469
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_3416,R2,820368.1,0.081142697,-1.090750562
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_3416,R3,799319.1333,0.081328314,-1.089758232
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_5313,R1,556740.4833,0.055330181,-1.257037912
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_5313,R2,606061.6667,0.060152715,-1.220744763
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_5313,R3,600274.3033,0.059272665,-1.227145543
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815_NT,R1,644953.2333,0.061053265,-1.214291109
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815_NT,R2,655792.3667,0.062879486,-1.201491014
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815_NT,R3,455587.86,0.045830312,-1.338847188
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815_Target,R1,308293.6533,0.031402849,-1.503030945
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815_Target,R2,335171.3133,0.034011628,-1.468372582
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815_Target,R3,236945.6153,0.025060333,-1.601013168
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0378,R1,0.0,1e-05,-5.0
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0378,R2,0.0,1e-05,-5.0
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0378,R3,0.0,1e-05,-5.0
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0379,R1,0.0,1e-05,-5.0
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0379,R2,0.0,1e-05,-5.0
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0379,R3,0.0,1e-05,-5.0
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0977_1,R1,1749.34,0.000164097,-3.784899959
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0977_1,R2,84199.66667,0.007805521,-2.107598083
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0977_1,R3,8721.36,0.000816109,-3.08825159
