From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
P02768	P02768	reviewed	ALBU_HUMAN	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)	609		GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	ALB	
P04264	P04264	reviewed	K2C1_HUMAN	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Homo sapiens (Human)	644			KRT1	KRTA
P0A0Z9	P0A0Z9	reviewed	ARGA_PSEPK	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA PP_5185	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	432	PP_5185		argA	
P0A101	P0A101	reviewed	PCAJ_PSEPK	3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6) (Beta-ketoadipate:succinyl-CoA transferase subunit B)	pcaJ PP_3952	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	213	PP_3952		pcaJ	
P0A116	P0A116	reviewed	DNAA_PSEPK	Chromosomal replication initiator protein DnaA	dnaA PP_0010	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	506	PP_0010		dnaA	
P0A118	P0A118	reviewed	DNAG_PSEPK	DNA primase (EC 2.7.7.101)	dnaG PP_0388	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	660	PP_0388		dnaG	
P0A120	P0A120	reviewed	DPO3B_PSEPK	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN PP_0011	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	367	PP_0011		dnaN	
P0A122	P0A122	reviewed	FER1_PSEPK	Ferredoxin 1	fdxA PP_1625	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	107	PP_1625		fdxA	
P0A124	P0A124	reviewed	RSMG_PSEPK	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	rsmG PP_0003	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	216	PP_0003		rsmG	
P0A126	P0A126	reviewed	IHFA_PSEPK	Integration host factor subunit alpha (IHF-alpha)	ihfA himA PP_2471	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	100	PP_2471		ihfA	himA
P0A128	P0A128	reviewed	IHFB_PSEPK	Integration host factor subunit beta (IHF-beta)	ihfB himD PP_1773	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	100	PP_1773		ihfB	himD
P0A130	P0A130	reviewed	CPOB_PSEPK	Cell division coordinator CpoB	cpoB PP_1224	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	268	PP_1224		cpoB	
P0A136	P0A136	reviewed	KAD_PSEPK	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk PP_1506	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	216	PP_1506		adk	
P0A138	P0A138	reviewed	PAL_PSEPK	Peptidoglycan-associated lipoprotein (PAL)	pal oprL pal1 PP_1223	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	166	PP_1223		pal	oprL pal1
P0A140	P0A140	reviewed	YIDC_PSEPK	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	yidC PP_0006	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	560	PP_0006		yidC	
P0A147	P0A147	reviewed	HPF_PSEPK	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF)	hpf rpoX PP_0951	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	102	PP_0951		hpf	rpoX
P0A149	P0A149	reviewed	Y002_PSEPK	Uncharacterized protein PP_0002	PP_0002	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	263	PP_0002			
P0A151	P0A151	reviewed	PARB_PSEPK	Probable chromosome-partitioning protein ParB	parB PP_0001	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	290	PP_0001		parB	
P0A153	P0A153	reviewed	LEXA1_PSEPK	LexA repressor 1 (EC 3.4.21.88)	lexA1 lexA lexA-1 PP_2143	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	202	PP_2143		lexA1	lexA lexA-1
P0A157	P0A157	reviewed	RL7_PSEPK	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)	rplL PP_0446	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	121	PP_0446		rplL	
P0A161	P0A161	reviewed	RL34_PSEPK	Large ribosomal subunit protein bL34 (50S ribosomal protein L34)	rpmH PP_0009	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	44	PP_0009		rpmH	
P0A165	P0A165	reviewed	RS21_PSEPK	Small ribosomal subunit protein bS21 (30S ribosomal protein S21)	rpsU PP_0389	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	71	PP_0389		rpsU	
P0A167	P0A167	reviewed	RNPA_PSEPK	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA PP_0008	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	133	PP_0008		rnpA	
P0A171	P0A171	reviewed	RP54_PSEPK	RNA polymerase sigma-54 factor	rpoN ntrA PP_0952	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	497	PP_0952		rpoN	ntrA
P0A173	P0A173	reviewed	TOLB_PSEPK	Tol-Pal system protein TolB	tolB PP_1222	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	433	PP_1222		tolB	
P0A175	P0A175	reviewed	MNME_PSEPK	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE thdF trmE PP_0005	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	456	PP_0005		mnmE	thdF trmE
P13645	P13645	reviewed	K1C10_HUMAN	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	KRT10 KPP	Homo sapiens (Human)	584			KRT10	KPP
P23181	P23181	reviewed	AACC1_PSEAI	Gentamicin 3-N-acetyltransferase (EC 2.3.1.60) (AAC(3)-I) (Aminoglycoside N(3)-acetyltransferase I) (Gentamicin acetyltransferase I)	aacC1	Pseudomonas aeruginosa	177			aacC1	
P25690	P25690	reviewed	K1M2_SHEEP	Keratin, type I microfibrillar, 47.6 kDa (Low-sulfur keratin)		Ovis aries (Sheep)	404				
P32377	P32377	reviewed	MVD1_YEAST	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Ergosterol biosynthesis protein 19) (Mevalonate pyrophosphate decarboxylase) (MPD) (Mevalonate-5-diphosphate decarboxylase) (MDD) (MDDase)	MVD1 ERG19 MPD YNR043W N3427	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	396	YNR043W	N3427	MVD1	ERG19 MPD
P35527	P35527	reviewed	K1C9_HUMAN	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	Homo sapiens (Human)	623			KRT9	
P35908	P35908	reviewed	K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	KRT2 KRT2A KRT2E	Homo sapiens (Human)	639			KRT2	KRT2A KRT2E
P59285	P59285	reviewed	ALLA_PSEPK	Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase)	allA PP_4288	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	167	PP_4288		allA	
P59300	P59300	reviewed	ARGB_PSEPK	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	argB PP_5289	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	301	PP_5289		argB	
P59308	P59308	reviewed	ARGC2_PSEPK	N-acetyl-gamma-glutamyl-phosphate reductase 2 (AGPR 2) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase 2) (NAGSA dehydrogenase 2)	argC2 PP_3633	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	313	PP_3633		argC2	
P59319	P59319	reviewed	ARGD_PSEPK	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD PP_4481	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	406	PP_4481		argD	
P59351	P59351	reviewed	Y396_PSEPK	UPF0229 protein PP_0396	PP_0396	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	423	PP_0396			
P59364	P59364	reviewed	YCIB_PSEPK	Inner membrane-spanning protein YciB	yciB PP_4501	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	197	PP_4501		yciB	
P59374	P59374	reviewed	RS11_PSEPK	Small ribosomal subunit protein uS11 (30S ribosomal protein S11)	rpsK PP_0477	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	129	PP_0477		rpsK	
P59392	P59392	reviewed	SELD_PSEPK	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	selD PP_0823	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	344	PP_0823		selD	
P59400	P59400	reviewed	HISX_PSEPK	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD PP_0966	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	441	PP_0966		hisD	
P59560	P59560	reviewed	Y1352_PSEPK	UPF0234 protein PP_1352	PP_1352	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	161	PP_1352			
P59604	P59604	reviewed	ASSY_PSEPK	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG PP_1088	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	405	PP_1088		argG	
P59612	P59612	reviewed	ARGJ_PSEPK	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ PP_1346	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	405	PP_1346		argJ	
P59618	P59618	reviewed	ARLY_PSEPK	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	argH PP_0184	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	464	PP_0184		argH	
P61113	P61113	reviewed	RL36_PSEPK	Large ribosomal subunit protein bL36 (50S ribosomal protein L36)	rpmJ PP_0475	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	38	PP_0475		rpmJ	
P61626	P61626	reviewed	LYSC_HUMAN	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ LZM	Homo sapiens (Human)	148			LYZ	LZM
P63165	P63165	reviewed	SUMO1_HUMAN	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101		OK/SW-cl.43	SUMO1	SMT3C SMT3H3 UBL1
P65117	P65117	reviewed	IF1_PSEPK	Translation initiation factor IF-1	infA PP_4007	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	72	PP_4007		infA	
P78386	P78386	reviewed	KRT85_HUMAN	Keratin, type II cuticular Hb5 (Hair keratin K2.12) (Keratin-85) (K85) (Type II hair keratin Hb5) (Type-II keratin Kb25)	KRT85 KRTHB5	Homo sapiens (Human)	507			KRT85	KRTHB5
Q15323	Q15323	reviewed	K1H1_HUMAN	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)	KRT31 HHA1 HKA1 KRTHA1	Homo sapiens (Human)	416			KRT31	HHA1 HKA1 KRTHA1
Q30CS2	Q30CS2	unreviewed	Q30CS2_KITAU	LipPks1	lipPks1	Kitasatospora aureofaciens (Streptomyces aureofaciens)	2259			lipPks1	
Q3L885	Q3L885	unreviewed	Q3L885_MYCS2	Polyketide synthase	pks MSMEG_0408	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	3652	MSMEG_0408		pks	
Q59692	Q59692	reviewed	FTSZ_PSEPK	Cell division protein FtsZ	ftsZ PP_1342	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	398	PP_1342		ftsZ	
Q7WTF4	Q7WTF4	unreviewed	Q7WTF4_9ACTN	NanA2	nanA2	Streptomyces nanchangensis	2223			nanA2	
Q835L4	Q835L4	unreviewed	Q835L4_ENTFA	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	EF_1363	Enterococcus faecalis (strain ATCC 700802 / V583)	383	EF_1363			
Q877J6	Q877J6	unreviewed	Q877J6_PSEPK	Transposase	PP_4443 PP_5396	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	511	PP_4443 PP_5396			
Q877U6	Q877U6	unreviewed	Q877U6_PSEPK	Acetolactate synthase	PP_1157 PP_3365	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	547	PP_1157 PP_3365			
Q877V8	Q877V8	unreviewed	Q877V8_PSEPK	Transposase	PP_1865 PP_1990 PP_2114 PP_2218 PP_2522 PP_4318	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	433	PP_1865 PP_1990 PP_2114 PP_2218 PP_2522 PP_4318			
Q88BW8	Q88BW8	reviewed	ATP6_PSEPK	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB PP_5419	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	289	PP_5419		atpB	
Q88BW9	Q88BW9	reviewed	ATPL_PSEPK	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE PP_5418 PP5418	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	85	PP_5418	PP5418	atpE	
Q88BX0	Q88BX0	reviewed	ATPF_PSEPK	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF PP_5417	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	156	PP_5417		atpF	
Q88BX1	Q88BX1	reviewed	ATPD_PSEPK	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH PP_5416 PP5416	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	178	PP_5416	PP5416	atpH	
Q88BX2	Q88BX2	reviewed	ATPA_PSEPK	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA PP_5415	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	514	PP_5415		atpA	
Q88BX3	Q88BX3	reviewed	ATPG_PSEPK	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG PP_5414	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	286	PP_5414		atpG	
Q88BX4	Q88BX4	reviewed	ATPB_PSEPK	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD PP_5413	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	458	PP_5413		atpD	
Q88BX5	Q88BX5	reviewed	ATPE_PSEPK	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC PP_5412	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	139	PP_5412		atpC	
Q88BX6	Q88BX6	reviewed	GLMU_PSEPK	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU PP_5411	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	455	PP_5411		glmU	
Q88BX7	Q88BX7	unreviewed	Q88BX7_PSEPK	Transcriptional regulator, DeoR family	PP_5410	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	258	PP_5410			
Q88BX8	Q88BX8	reviewed	GLMS_PSEPK	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS PP_5409	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	611	PP_5409		glmS	
Q88BY6	Q88BY6	unreviewed	Q88BY6_PSEPK	PIN domain-containing protein	PP_5401	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	213	PP_5401			
Q88BY7	Q88BY7	unreviewed	Q88BY7_PSEPK	IrrE N-terminal-like domain-containing protein	PP_5400	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	355	PP_5400			
Q88BY9	Q88BY9	unreviewed	Q88BY9_PSEPK	N(4)-bis(aminopropyl)spermidine synthase C-terminal domain-containing protein	PP_5395	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	281	PP_5395			
Q88BZ1	Q88BZ1	unreviewed	Q88BZ1_PSEPK	Beta-propeller fold lactonase family protein	PP_5392	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	340	PP_5392			
Q88BZ2	Q88BZ2	unreviewed	Q88BZ2_PSEPK	Uncharacterized protein	PP_5391	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	193	PP_5391			
Q88BZ3	Q88BZ3	unreviewed	Q88BZ3_PSEPK	DUF2933 domain-containing protein	PP_5390	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	91	PP_5390			
Q88BZ4	Q88BZ4	unreviewed	Q88BZ4_PSEPK	Isoprenylcysteine carboxyl methyltransferase	PP_5389	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	219	PP_5389			
Q88BZ5	Q88BZ5	unreviewed	Q88BZ5_PSEPK	Probable exported copper efflux protein	cusF PP_5388	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	113	PP_5388		cusF	
Q88BZ6	Q88BZ6	unreviewed	Q88BZ6_PSEPK	Probable copper efflux transporter, CzcA family	cusA PP_5387	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	1052	PP_5387		cusA	
Q88C00	Q88C00	unreviewed	Q88C00_PSEPK	Transcriptional activator protein	copR-II PP_5383	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	225	PP_5383		copR-II	
Q88C03	Q88C03	unreviewed	Q88C03_PSEPK	Copper resistance protein A	copA-II PP_5380	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	669	PP_5380		copA-II	
Q88C04	Q88C04	unreviewed	Q88C04_PSEPK	Copper resistance protein B	copB-II PP_5379	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	359	PP_5379		copB-II	
Q88C05	Q88C05	unreviewed	Q88C05_PSEPK	Metal-binding protein	PP_5378	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	260	PP_5378			
Q88C17	Q88C17	unreviewed	Q88C17_PSEPK	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	lpd PP_5366	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	466	PP_5366		lpd	
Q88C18	Q88C18	unreviewed	Q88C18_PSEPK	Fatty acid methyltransferase (EC 2.1.1.-)	PP_5365	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	428	PP_5365			
Q88C20	Q88C20	unreviewed	Q88C20_PSEPK	DUF3617 domain-containing protein	PP_5363	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	175	PP_5363			
Q88C26	Q88C26	reviewed	PDXY_PSEPK	Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35)	pdxY PP_5357	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	290	PP_5357		pdxY	
Q88C28	Q88C28	unreviewed	Q88C28_PSEPK	Sodium/proton antiporter	PP_5355	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	586	PP_5355			
Q88C29	Q88C29	unreviewed	Q88C29_PSEPK	Cell wall assembly protein	PP_5354	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	135	PP_5354			
Q88C30	Q88C30	unreviewed	Q88C30_PSEPK	Tim44-like domain-containing protein	PP_5353	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	284	PP_5353			
Q88C31	Q88C31	unreviewed	Q88C31_PSEPK	DNA 3'-5' helicase (EC 5.6.2.4) (DNA 3'-5' helicase II)	uvrD PP_5352	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	728	PP_5352		uvrD	
