Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
G1G01-4007	PP_3754	bktB	KETOACYLCOATHIOL-RXN	2.3.1.16	beta-ketothiolase BktB	No Evidence Code
G1G01-840	PP_0763		RXN-13614	6.2.1.3	medium-chain-fatty acid CoA ligase	No Evidence Code
G1G01-3977	PP_3724		RXN-13614	6.2.1.3	acyl-CoA synthetase	No Evidence Code
G1G01-3692	PP_3458	acs	RXN-13614	6.2.1.3	acyl-CoA synthetase	No Evidence Code
G1G01-2354	PP_2213		RXN-13614	6.2.1.3	acyl-CoA synthetase	No Evidence Code
G1G01-3199	PP_3015		RXN-13614	6.2.1.3	medium-chain acyl-CoA ligase domain-containing protein	No Evidence Code
G1G01-402	PP_0368		RXN-13615	1.3.8.7	decanoyl-CoA dehydrogenase	EV-EXP
G1G01-2602	PP_2437		RXN-13615	1.3.8.7	decanoyl-CoA dehydrogenase	EV-EXP
G1G01-2003	PP_1893	fadE	RXN-13615	1.3.8.7	acyl-CoA dehydrogenase	No Evidence Code
G1G01-2185	PP_2048		RXN-13615	1.3.8.7	acyl-CoA dehydrogenase	No Evidence Code
G1G01-2358	PP_2217		RXN-13616	4.2.1.17	enoyl-CoA hydratase	No Evidence Code
G1G01-2277	PP_2136	fadB	RXN-13616	4.2.1.17	enoyl-CoA hydratase	EV-EXP
G1G01-2277	PP_2136	fadB	RXN-12490	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	EV-EXP
G1G01-2355	PP_2214	fadBA	RXN-12490	1.1.1.35	type II 3-hydroxyacyl-CoA dehydrogenase	No Evidence Code
G1G01-4007	PP_3754	bktB	RXN-13617	2.3.1.16	beta-ketothiolase BktB	No Evidence Code
G1G01-2188	PP_2051	fadA	RXN-13617	2.3.1.16	3-ketoacyl-CoA thiolase	No Evidence Code
G1G01-2278	PP_2137	fadA	RXN-13617	2.3.1.16	acetyl-CoA C-acyltransferase	EV-EXP
G1G01-4853	PP_4545		RXN-13613	2.3.1.207	beta-ketodecanoyl-ACP synthase	No Evidence Code
G1G01-1704	PP_1607	accA	RXN0-5055	2.1.3.15	acetyl-CoA carboxytransferase	No Evidence Code
G1G01-2126	PP_1996	accD	RXN0-5055	2.1.3.15	acetyl-CoA carboxytransferase	No Evidence Code
G1G01-2025	PP_1913	fabD	MALONYL-COA-ACP-TRANSACYL-RXN	2.3.1.39	malonyl-CoA-ACP transacylase	No Evidence Code
G1G01-4657	PP_4379		2.3.1.180-RXN	2.3.1.180	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-399	PP_0365	bioC	RXN-11475	2.1.1.197	malonyl-ACP O-methyltransferase	No Evidence Code
G1G01-4441	PP_4175	fabB	RXN-11474	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-3533	PP_3303		RXN-11474	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-2028	PP_1916	fabF	RXN-11474	2.3.1.41/2.3.1.179	beta-ketoacyl-ACP synthase II	No Evidence Code
G1G01-2959	PP_2779		RXN-11474	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2961	PP_2781		RXN-11474	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2026	PP_1914	fabG	RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase subunit	No Evidence Code
G1G01-2963	PP_2783		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2679	PP_2503		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2316	PP_2175		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-631	PP_0581		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-1699	PP_1602	fabZ	RXN-11477	4.2.1.59	3-hydroxyacyl-ACP dehydratase FabZ	No Evidence Code
G1G01-4440	PP_4174	fabA	RXN-11477	4.2.1.59	3R-3-hydroxydecanoyl-ACP dehydratase	No Evidence Code
G1G01-1957	PP_1852		RXN-11478	1.3.1.9	enoyl-ACP reductase	No Evidence Code
G1G01-2963	PP_2783		RXN-11478	1.3.1.9	enoylglutaryl-[acp] methyl ester reductase	EV-COMP
G1G01-4441	PP_4175	fabB	RXN-11479	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-3533	PP_3303		RXN-11479	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-2028	PP_1916	fabF	RXN-11479	2.3.1.41/2.3.1.179	beta-ketoacyl-ACP synthase II	No Evidence Code
G1G01-2959	PP_2779		RXN-11479	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2961	PP_2781		RXN-11479	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2026	PP_1914	fabG	RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase subunit	No Evidence Code
G1G01-2963	PP_2783		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2679	PP_2503		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2316	PP_2175		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-631	PP_0581		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-1699	PP_1602	fabZ	RXN-11481	4.2.1.59	3-hydroxyacyl-ACP dehydratase FabZ	No Evidence Code
G1G01-4440	PP_4174	fabA	RXN-11481	4.2.1.59	3R-3-hydroxydecanoyl-ACP dehydratase	No Evidence Code
G1G01-1957	PP_1852		RXN-11482	1.3.1.9	enoyl-ACP reductase	No Evidence Code
G1G01-4948	PP_4635		RXN-11482	1.3.1.9	enoylpimeloyl-[acp] methyl ester reductase	EV-COMP
G1G01-398	PP_0364	bioH	RXN-11483	3.1.1.85	pimeloyl-ACP methyl ester esterase	No Evidence Code
G1G01-397	PP_0363	bioF	RXN-11484	2.3.1.47	8-amino-7-oxononanoate synthase	No Evidence Code
G1G01-5329	PP_4984	bioA	DAPASYN-RXN	2.6.1.62	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	No Evidence Code
G1G01-400	PP_0366	bioD	DETHIOBIOTIN-SYN-RXN	6.3.3.3	dethiobiotin synthetase	No Evidence Code
G1G01-396	PP_0362	bioB	2.8.1.6-RXN	2.8.1.6	biotin synthase	No Evidence Code
G1G01-5329	PP_4984	bioA	DAPASYN-RXN	2.6.1.62	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	No Evidence Code
G1G01-400	PP_0366	bioD	DETHIOBIOTIN-SYN-RXN	6.3.3.3	dethiobiotin synthetase	No Evidence Code
G1G01-396	PP_0362	bioB	2.8.1.6-RXN	2.8.1.6	biotin synthase	No Evidence Code
G1G01-399	PP_0365	bioC	RXN-11475	2.1.1.197	malonyl-ACP O-methyltransferase	No Evidence Code
G1G01-4441	PP_4175	fabB	RXN-11474	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-3533	PP_3303		RXN-11474	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-2028	PP_1916	fabF	RXN-11474	2.3.1.41/2.3.1.179	beta-ketoacyl-ACP synthase II	No Evidence Code
G1G01-2959	PP_2779		RXN-11474	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2961	PP_2781		RXN-11474	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2026	PP_1914	fabG	RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase subunit	No Evidence Code
G1G01-2963	PP_2783		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2679	PP_2503		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2316	PP_2175		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-631	PP_0581		RXN-11476	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-1699	PP_1602	fabZ	RXN-11477	4.2.1.59	3-hydroxyacyl-ACP dehydratase FabZ	No Evidence Code
G1G01-4440	PP_4174	fabA	RXN-11477	4.2.1.59	3R-3-hydroxydecanoyl-ACP dehydratase	No Evidence Code
G1G01-1957	PP_1852		RXN-11478	1.3.1.9	enoyl-ACP reductase	No Evidence Code
G1G01-2963	PP_2783		RXN-11478	1.3.1.9	enoylglutaryl-[acp] methyl ester reductase	EV-COMP
G1G01-4441	PP_4175	fabB	RXN-11479	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-3533	PP_3303		RXN-11479	2.3.1.41/2.3.1.179	3-oxoacyl-ACP synthase	No Evidence Code
G1G01-2028	PP_1916	fabF	RXN-11479	2.3.1.41/2.3.1.179	beta-ketoacyl-ACP synthase II	No Evidence Code
G1G01-2959	PP_2779		RXN-11479	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2961	PP_2781		RXN-11479	2.3.1.41/2.3.1.179	beta-ketoacyl synthase	No Evidence Code
G1G01-2026	PP_1914	fabG	RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase subunit	No Evidence Code
G1G01-2963	PP_2783		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2679	PP_2503		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-2316	PP_2175		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-631	PP_0581		RXN-11480	1.1.1.100	3-oxoacyl-ACP reductase	No Evidence Code
G1G01-1699	PP_1602	fabZ	RXN-11481	4.2.1.59	3-hydroxyacyl-ACP dehydratase FabZ	No Evidence Code
G1G01-4440	PP_4174	fabA	RXN-11481	4.2.1.59	3R-3-hydroxydecanoyl-ACP dehydratase	No Evidence Code
G1G01-1957	PP_1852		RXN-11482	1.3.1.9	enoyl-ACP reductase	No Evidence Code
G1G01-4948	PP_4635		RXN-11482	1.3.1.9	enoylpimeloyl-[acp] methyl ester reductase	EV-COMP
G1G01-398	PP_0364	bioH	RXN-11483	3.1.1.85	pimeloyl-ACP methyl ester esterase	No Evidence Code
G1G01-397	PP_0363	bioF	RXN-11484	2.3.1.47	8-amino-7-oxononanoate synthase	No Evidence Code



