,pp,Entry_x,Reviewed,Entry Name,Protein names,Gene Names,Gene Ontology (molecular function),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (biological process),New_tag,Preferred_name,Nickname,Description,COG,GOs,EC,KEGG_ko,KEGG_Reaction,pref_first3,in_gsm,gsm_rxns,gsm_subsystems,num_rxns,num_subsystems,subsystem1,retap_target,isoprenol_mean,dCas9_expr,pass_dbtl0_filter,target_control_ratio,pass_dbtl3
10,PP_0362,Q88QX2,reviewed,BIOB_PSEPK,Biotin synthase (EC 2.8.1.6),bioB PP_0362 PP0362,"2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; iron ion binding [GO:0005506]","2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; iron ion binding [GO:0005506]; biotin biosynthetic process [GO:0009102]",GO:0004076; GO:0005506; GO:0009102; GO:0051537; GO:0051539,,biotin biosynthetic process [GO:0009102],PP_RS01920,bioB,bioB ,Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism,H,"GO:0003674,GO:0003824,GO:0004076,GO:0005488,GO:0006082,GO:0006732,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009102,GO:0009108,GO:0009110,GO:0009987,GO:0016053,GO:0016740,GO:0016782,GO:0016783,GO:0017144,GO:0018130,GO:0019752,GO:0032787,GO:0034641,GO:0042364,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0048037,GO:0051186,GO:0051188,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0070283,GO:0071704,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.8.1.6,ko:K01012,R01078,bio,True,['BTS5'],['S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis'],1,1,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,False,215.7895133333333,0.0343726630484992,False,,False
11,PP_0368,Q88QW6,unreviewed,Q88QW6_PSEPK,Acyl-CoA dehydrogenase,PP_0368,"flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]","flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]",GO:0016627; GO:0050660,,,PP_RS01950,HA62_19490,PP_0368,acyl-CoA dehydrogenase,C,-,-,-,-,HA6,True,"['ACOAD13f', 'ACOAD18f', 'ACOAD15f', 'ACOAD12f', 'ACOAD17f', 'ACOAD7f', 'ACOAD14f', 'ACOAD8f', 'ACOAD19f', 'ACOAD16f']",['S_Fatty_Acid_Metabolism'],10,1,S_Fatty_Acid_Metabolism,False,236.68053333333333,0.9445849040110836,True,0.0325865796618558,True
12,PP_0437,Q88QQ1,unreviewed,Q88QQ1_PSEPK,Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase),birA PP_0437,ATP binding [GO:0005524]; biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]; DNA binding [GO:0003677],ATP binding [GO:0005524]; biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]; DNA binding [GO:0003677]; protein modification process [GO:0036211]; regulation of DNA-templated transcription [GO:0006355],GO:0003677; GO:0004077; GO:0005524; GO:0006355; GO:0036211,,protein modification process [GO:0036211]; regulation of DNA-templated transcription [GO:0006355],PP_RS02310,birA,birA,"Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a biotin-operon repressor. In the presence of ATP, BirA activates biotin to form the BirA-biotinyl-5'-adenylate (BirA-bio- 5'-AMP or holoBirA) complex. HoloBirA can either transfer the biotinyl moiety to the biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase, or bind to the biotin operator site and inhibit transcription of the operon",H,"GO:0000166,GO:0000976,GO:0000984,GO:0001017,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0004077,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0006082,GO:0006464,GO:0006732,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009102,GO:0009108,GO:0009110,GO:0009305,GO:0009374,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0017053,GO:0017076,GO:0017144,GO:0018130,GO:0018271,GO:0019538,GO:0019752,GO:0019842,GO:0030554,GO:0031406,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0032991,GO:0033218,GO:0033293,GO:0034641,GO:0035639,GO:0036094,GO:0036211,GO:0042364,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043170,GO:0043177,GO:0043412,GO:0043436,GO:0043565,GO:0043603,GO:0043604,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0046983,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901681,GO:1990837",6.3.4.15,ko:K03524,"R01074,R05145",bir,True,['BACCL'],['S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis'],1,1,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis,False,225.59135333333333,0.8536456653075981,True,0.0355216558830039,True
13,PP_0528,Q88QG6,unreviewed,Q88QG6_PSEPK,"Farnesyl diphosphate synthase (EC 2.5.1.1, EC 2.5.1.10)",ispA PP_0528,dimethylallyltranstransferase activity [GO:0004161]; geranyltranstransferase activity [GO:0004337],dimethylallyltranstransferase activity [GO:0004161]; geranyltranstransferase activity [GO:0004337]; isoprenoid biosynthetic process [GO:0008299],GO:0004161; GO:0004337; GO:0008299,,isoprenoid biosynthetic process [GO:0008299],PP_RS02795,ispA,ispA,Belongs to the FPP GGPP synthase family,H,"GO:0003674,GO:0003824,GO:0004161,GO:0004337,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006629,GO:0006644,GO:0006720,GO:0006721,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016114,GO:0016740,GO:0016765,GO:0019637,GO:0033383,GO:0033384,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045337,GO:0045338,GO:0071704,GO:0090407,GO:1901576","2.5.1.1,2.5.1.10,2.5.1.29","ko:K00795,ko:K13789","R01658,R02003,R02061",isp,True,"['GRTT', 'DMATT']",['S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis'],2,1,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis,False,393.69971333333336,0.8870880961344888,True,0.1414623295938567,True
14,PP_0548,Q88QE6,unreviewed,Q88QE6_PSEPK,Flavin prenyltransferase UbiX (EC 2.5.1.129),ubiX PP_0548,flavin prenyltransferase activity [GO:0106141]; lyase activity [GO:0016829],flavin prenyltransferase activity [GO:0106141]; lyase activity [GO:0016829],GO:0016829; GO:0106141,,,PP_RS02895,ubiX,ubiX ,Flavin prenyltransferase that catalyzes the synthesis of the prenylated FMN cofactor (prenyl-FMN) for 4-hydroxy-3- polyprenylbenzoic acid decarboxylase UbiD. The prenyltransferase is metal-independent and links a dimethylallyl moiety from dimethylallyl monophosphate (DMAP) to the flavin N5 and C6 atoms of FMN,H,"GO:0003674,GO:0003824,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0008150,GO:0008152,GO:0008694,GO:0009058,GO:0009108,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0051186,GO:0051188,GO:0071704,GO:1901576,GO:1901661,GO:1901663",2.5.1.129,ko:K03186,"R01238,R02952,R03367,R04985,R04986,R11225",ubi,True,['OPHBDC'],['S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis'],1,1,S_Cofactor_and_Prosthetic_Group_Biosynthesis__Ubiquinone_biosynthesis,False,304.89146666666664,0.9464346254337505,False,,False
15,PP_0582,Q88QB2,unreviewed,Q88QB2_PSEPK,Thiolase family protein,PP_0582,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]","acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",GO:0016747,,,PP_RS03065,fadI,PP_0582,Belongs to the thiolase family,I,-,2.3.1.9,ko:K00626,"R00238,R01177",fad,False,,[],0,0,-,False,165.47555666666668,0.6776500275738778,False,0.6157272539714486,False
16,PP_0597,Q88Q97,unreviewed,Q88Q97_PSEPK,Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27),mmsA-I PP_0597,"methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity [GO:0004491]","methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity [GO:0004491]; organic substance metabolic process [GO:0071704]",GO:0004491; GO:0071704,,organic substance metabolic process [GO:0071704],PP_RS03140,mmsA,mmsA-I,methylmalonate-semialdehyde dehydrogenase,C,-,"1.2.1.18,1.2.1.27",ko:K00140,"R00705,R00706,R00922,R00935",mms,True,['MMSAD3'],['S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism'],1,1,S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,False,163.79622333333333,1.1102089587642128,True,0.0224447019765549,False
17,PP_0654,Q88Q44,reviewed,MDH_PSEPK,Probable malate dehydrogenase (EC 1.1.1.37),mdh PP_0654,L-malate dehydrogenase activity [GO:0030060],L-malate dehydrogenase activity [GO:0030060]; carboxylic acid metabolic process [GO:0019752]; tricarboxylic acid cycle [GO:0006099],GO:0006099; GO:0019752; GO:0030060,,carboxylic acid metabolic process [GO:0019752]; tricarboxylic acid cycle [GO:0006099],PP_RS03500,mdh,mdh,Catalyzes the reversible oxidation of malate to oxaloacetate,C,"GO:0003674,GO:0003824,GO:0004470,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006099,GO:0006101,GO:0006108,GO:0006113,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009060,GO:0009061,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015980,GO:0016020,GO:0016052,GO:0016053,GO:0016310,GO:0016491,GO:0016614,GO:0016615,GO:0016999,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0019898,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045333,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0071704,GO:0072330,GO:0072350,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",1.1.1.37,ko:K00024,"R00342,R07136",mdh,True,['MDH'],['S_TCA_Cycle'],1,1,S_TCA_Cycle,False,112.83022,0.8340458414730453,True,0.197526342518445,False
18,PP_0658,Q88Q40,unreviewed,Q88Q40_PSEPK,Homocysteine S-methyltransferase family protein,PP_0658,methyltransferase activity [GO:0008168]; zinc ion binding [GO:0008270],methyltransferase activity [GO:0008168]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259],GO:0008168; GO:0008270; GO:0009086; GO:0032259,,methionine biosynthetic process [GO:0009086]; methylation [GO:0032259],PP_RS03525,-,PP_0658,homocysteine S-methyltransferase,H,-,2.1.1.10,ko:K00547,R00650,-,True,"['HCYSMT2', 'CYSTS', 'HCYSMT']","['S_Cysteine_Metabolism', 'S_Methionine_Metabolism']",3,2,S_Cysteine_Metabolism,True,130.084,0.9673536372836756,True,0.0146886650571378,False
19,PP_0691,Q88Q07,reviewed,PROB_PSEPK,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK),proB PP_0691,ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; RNA binding [GO:0003723],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; RNA binding [GO:0003723]; L-proline biosynthetic process [GO:0055129]; phosphorylation [GO:0016310],GO:0003723; GO:0004349; GO:0005524; GO:0005737; GO:0016310; GO:0055129,cytoplasm [GO:0005737],L-proline biosynthetic process [GO:0055129]; phosphorylation [GO:0016310],PP_RS03690,proB,proB,Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate,F,"GO:0000287,GO:0003674,GO:0003824,GO:0004349,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006560,GO:0006561,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016597,GO:0016740,GO:0016772,GO:0016774,GO:0017144,GO:0018130,GO:0019202,GO:0019752,GO:0031406,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046872,GO:0055129,GO:0071704,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901973",2.7.2.11,ko:K00931,R00239,pro,True,['GLU5K'],['S_Glutamate_Metabolism'],1,1,S_Glutamate_Metabolism,True,155.03571,0.0560768921588285,False,0.9595324183231824,False
20,PP_0751,Q88PU7,reviewed,MQO1_PSEPK,Probable malate:quinone oxidoreductase 1 (EC 1.1.5.4) (MQO 1) (Malate dehydrogenase [quinone] 1),mqo1 mqo-1 PP_0751,malate dehydrogenase (menaquinone) activity [GO:0052589]; malate dehydrogenase (quinone) activity [GO:0008924],malate dehydrogenase (menaquinone) activity [GO:0052589]; malate dehydrogenase (quinone) activity [GO:0008924]; tricarboxylic acid cycle [GO:0006099],GO:0006099; GO:0008924; GO:0052589,,tricarboxylic acid cycle [GO:0006099],PP_RS04010,mqo,mqo-I,malate quinone oxidoreductase,C,-,1.1.5.4,ko:K00116,"R00360,R00361,R01257",mqo,True,"['DMALRED', 'MDH2']",['S_TCA_Cycle'],2,1,S_TCA_Cycle,False,211.02548,1.131041127598284,True,0.0366818941179893,True
