From,Locus,Source,To,Letter,Func
Q88KS6,PP_2213,Heuristics,COG2057,C,"FoF1-type ATP synthase, delta subunit"
Q88KF1,PP_2339,Heuristics,COG1788,C,NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
P0A126,PP_2471,Heuristics,COG0365,C,Rieske Fe-S protein
Q88JR0,PP_2589,Heuristics,COG0579,I,3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
Q88IS4,PP_2925,Heuristics,COG1012,E,"ABC-type amino acid transport system, permease component"
Q88IC8,PP_3071,Heuristics,COG1049,B,"DNA-binding chromatin protein HU or IHF, alpha or beta variants"
Q88I79,PP_3122,Heuristics,COG0365,I,Acetyl-CoA carboxylase alpha subunit
Q88I78,PP_3123,Heuristics,COG0183,C,NADH:ubiquinone oxidoreductase subunit 3 (chain A)
Q88HS3,PP_3280,Heuristics,COG1024,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
Q88HS1,PP_3282,Heuristics,COG1250,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
Q88HK1,PP_3355,Heuristics,COG1048,C,NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
Q88HG4,PP_3394,Heuristics,COG0167,R,BioD-like N-terminal domain of phosphotransacetylase
Q88GY7,PP_3578,Heuristics,COG1109,C,NADH:ubiquinone oxidoreductase subunit 4 (chain M)
Q88GH9,PP_3744,Heuristics,COG0128,I,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
Q88GH0,PP_3754,Heuristics,COG0287,I,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
Q88GG9,PP_3755,Heuristics,COG0077,I,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
Q88FS2,PP_4011,Heuristics,COG1605,G,6-phosphogluconate dehydrogenase (decarboxylating)
Q88FS1,PP_4012,Heuristics,COG0114,I,Enoyl-CoA hydratase/carnithine racemase
Q88FP6,PP_4043,FluxRETAP,COG0299,C,Aconitase A
Q88FI0,PP_4116,FluxRETAP,COG0496,C,Aconitase B
Q88FH7,PP_4119,FluxRETAP,COG0504,C,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"
Q88FH6,PP_4120,FluxRETAP,COG0825,G,Phosphomannomutase
Q88FH5,PP_4121,FluxRETAP,COG0027,G,Phosphomannomutase
Q88FH5,PP_4121,FluxRETAP,COG4993,E,"ABC-type polar amino acid transport system, ATPase component"
Q88FH4,PP_4122,FluxRETAP,COG0028,C,Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase
Q88FH3,PP_4123,FluxRETAP,COG2857,I,3-hydroxyacyl-CoA dehydrogenase
Q88FG8,PP_4128,FluxRETAP,COG1290,I,3-hydroxyacyl-CoA dehydrogenase
Q88FG6,PP_4130,FluxRETAP,COG0723,I,3-hydroxyacyl-CoA dehydrogenase
Q88FD8,PP_4159,FluxRETAP,COG0579,C,"Cytochrome bd-type quinol oxidase, subunit 1"
Q88FD7,PP_4161,FluxRETAP,COG0152,C,Cytochrome b subunit of the bc complex
Q88FC4,PP_4174,FluxRETAP,COG0516,C,"Cytochrome bd-type quinol oxidase, subunit 2"
Q88FC3,PP_4175,FluxRETAP,COG0517,O,"Serine protease, subtilisin family"
Q88FB3,PP_4185,Heuristics,COG0363,D,"Chromosome segregation protein Spo0J, contains ParB-like CTPase domain"
Q88FB2,PP_4186,Heuristics,COG0549,E,Chorismate mutase
Q88FB1,PP_4187,FluxRETAP,COG0114,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
Q88FB0,PP_4188,FluxRETAP,COG1838,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
Q88FA9,PP_4189,FluxRETAP,COG1951,K,Biotin operon repressor
Q88FA7,PP_4191,Heuristics,COG3125,I,"Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit"
Q88FA6,PP_4192,Heuristics,COG1845,C,"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain"
Q88FA5,PP_4193,Heuristics,COG0843,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
Q88FA4,PP_4194,FluxRETAP,COG1622,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
Q88F33,PP_4266,FluxRETAP,COG1404,C,"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"
Q88EH6,PP_4487,Heuristics,COG2911,C,NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)
Q88EB7,PP_4549,Heuristics,COG3170,T,sRNA-binding regulator protein Hfq
Q88EB6,PP_4550,Heuristics,COG4932,C,"Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain"
Q88E33,PP_4635,FluxRETAP,COG0280,I,Acyl-CoA dehydrogenase related to the alkylation response protein AidB
Q88E32,PP_4636,Heuristics,COG0857,C,"Succinate dehydrogenase/fumarate reductase, cytochrome b subunit"
Q88E18,PP_4650,FluxRETAP,COG0579,E,Homocysteine/selenocysteine methylase (S-methylmethionine-dependent)
Q88E17,PP_4651,FluxRETAP,COG0263,I,"Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit"
Q88E01,PP_4667,Heuristics,COG2040,P,"K+-transporting ATPase, KdpA subunit"
Q88DZ0,PP_4678,Heuristics,COG0039,C,"Succinate dehydrogenase, hydrophobic anchor subunit"
Q88DY9,PP_4679,Heuristics,COG1012,P,"K+-transporting ATPase, KdpC subunit"
Q88DW6,PP_4702,Heuristics,COG0183,K,"DNA-binding transcriptional regulator, FadR family"
Q88DT2,PP_4737,Heuristics,COG0163,C,Isocitrate lyase
Q88DT2,PP_4737,Heuristics,COG0142,I R,Choline dehydrogenase or related flavoprotein
Q88DT2,PP_4737,Heuristics,COG0340,I R,Choline dehydrogenase or related flavoprotein
Q88DG3,PP_4862,FluxRETAP,COG1654,C,Monomeric isocitrate dehydrogenase
Q88DD3,PP_4894,Heuristics,COG1960,C,Cytochrome c1
Q88CW6,PP_5064,Heuristics,COG0502,U,Autotransporter translocation and assembly protein TamB
Q88CQ2,PP_5128,FluxRETAP,COG0508,Q,"Ca2+-binding protein, RTX toxin-related"
Q88CJ5,PP_5186,FluxRETAP,COG0765,I,Trans-2-enoyl-CoA reductase
Q88CH8,PP_5203,FluxRETAP,COG1126,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 4"
Q88C93,PP_5288,Heuristics,COG2304,N U,Type IV pilus assembly protein FimV
Q88C48,PP_5335,Heuristics,COG2931,O C,Cytochrome c oxidase assembly protein Cox11
Q88BX1,PP_5416,Heuristics,COG1845,C,FoF1-type ATP synthase accessory protein AtpI
Q88BX0,PP_5417,Heuristics,COG3175,C,NADP-dependent 3-hydroxy acid dehydrogenase YdfG
Q88BW8,PP_5419,Heuristics,COG0843,R,"Predicted P-loop ATPase, KAP-like"
P0A103,PP_5420,Heuristics,COG1622,G,"Glucose dehydrogenase, PQQ-dependent"
