From,To,Letter,Func
Q88PS4,COG0857,R,BioD-like N-terminal domain of phosphotransacetylase
Q88FG6,COG1008,C,NADH:ubiquinone oxidoreductase subunit 4 (chain M)
Q88Q97,COG1012,I,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
Q88JR0,COG1012,I,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
Q88E01,COG1012,I,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
Q88FP6,COG1023,G,6-phosphogluconate dehydrogenase (decarboxylating)
Q88L02,COG1024,I,Enoyl-CoA hydratase/carnithine racemase
Q88L24,COG1048,C,Aconitase A
Q88KF1,COG1049,C,Aconitase B
Q88FA7,COG1053,C,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"
Q88LZ9,COG1109,G,Phosphomannomutase
Q88C93,COG1109,G,Phosphomannomutase
Q88RA8,COG1126,E,"ABC-type polar amino acid transport system, ATPase component"
Q88FB1,COG1249,C,Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase
Q88L02,COG1250,I,3-hydroxyacyl-CoA dehydrogenase
Q88HS1,COG1250,I,3-hydroxyacyl-CoA dehydrogenase
Q88GG9,COG1250,I,3-hydroxyacyl-CoA dehydrogenase
Q88E17,COG1271,C,"Cytochrome bd-type quinol oxidase, subunit 1"
Q88N94,COG1290,C,Cytochrome b subunit of the bc complex
Q88E18,COG1294,C,"Cytochrome bd-type quinol oxidase, subunit 2"
Q88PP2,COG1404,O,"Serine protease, subtilisin family"
P0A151,COG1475,D,"Chromosome segregation protein Spo0J, contains ParB-like CTPase domain"
Q88M06,COG1605,E,Chorismate mutase
Q88RM6,COG1622,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
Q88PN7,COG1622,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
Q88QQ1,COG1654,K,Biotin operon repressor
Q88I79,COG1788,I,"Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit"
Q88PF3,COG1838,C,"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain"
Q88RM3,COG1845,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
Q88PN5,COG1845,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
Q88FH3,COG1894,C,"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"
Q88FH4,COG1905,C,NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)
Q88DD3,COG1923,T,sRNA-binding regulator protein Hfq
Q88PF3,COG1951,C,"Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain"
Q88QW6,COG1960,I,Acyl-CoA dehydrogenase related to the alkylation response protein AidB
Q88FA5,COG2009,C,"Succinate dehydrogenase/fumarate reductase, cytochrome b subunit"
Q88Q40,COG2040,E,Homocysteine/selenocysteine methylase (S-methylmethionine-dependent)
Q88I78,COG2057,I,"Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit"
Q88FD7,COG2060,P,"K+-transporting ATPase, KdpA subunit"
Q88FA6,COG2142,C,"Succinate dehydrogenase, hydrophobic anchor subunit"
Q88FD8,COG2156,P,"K+-transporting ATPase, KdpC subunit"
Q88GH9,COG2186,K,"DNA-binding transcriptional regulator, FadR family"
Q88FI0,COG2224,C,Isocitrate lyase
Q88CW6,COG2303,I R,Choline dehydrogenase or related flavoprotein
Q88RG2,COG2304,I R,Choline dehydrogenase or related flavoprotein
Q88FS1,COG2838,C,Monomeric isocitrate dehydrogenase
Q88N93,COG2857,C,Cytochrome c1
Q88PP2,COG2911,U,Autotransporter translocation and assembly protein TamB
Q88RG2,COG2931,Q,"Ca2+-binding protein, RTX toxin-related"
Q88E33,COG3007,I,Trans-2-enoyl-CoA reductase
Q88PN4,COG3125,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 4"
Q88PP2,COG3170,N U,Type IV pilus assembly protein FimV
Q88RM4,COG3175,O C,Cytochrome c oxidase assembly protein Cox11
P0A103,COG3312,C,FoF1-type ATP synthase accessory protein AtpI
Q88DG3,COG4221,C,NADP-dependent 3-hydroxy acid dehydrogenase YdfG
Q88PP2,COG4932,R,"Predicted P-loop ATPase, KAP-like"
Q88MX4,COG4993,G,"Glucose dehydrogenase, PQQ-dependent"
