Rank,Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method
33,Q88QP3,RL10_PSEPK,Rplj,50S ribosomal protein L10,0.486879474
34,Q88L46,Q88L46_PSEPK,Oprf,Outer membrane protein OprF,0.485062715
35,Q88K29,Q88K29_PSEPK,Cspa-2,Cold shock protein CspA,0.479313774
36,Q88FB0,Q88FB0_PSEPK,Kgdb,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,0.478960731
37,Q88JG9,Q88JG9_PSEPK,Pp_2680,Aldehyde dehydrogenase family protein,0.469793429
38,Q88QN5,RL3_PSEPK,Rplc,50S ribosomal protein L3,0.466222775
39,Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,0.463986256
40,Q88QM9,RS3_PSEPK,Rpsc,30S ribosomal protein S3,0.444202753
41,Q88QM1,RS8_PSEPK,Rpsh,30S ribosomal protein S8,0.441844362
42,Q88QM0,RL6_PSEPK,Rplf,50S ribosomal protein L6,0.441281079
43,Q88FB1,Q88FB1_PSEPK,Lpdg,Dihydrolipoyl dehydrogenase,0.440926716
44,Q88QL2,RS4_PSEPK,Rpsd,30S ribosomal protein S4,0.421969018
45,Q88QZ5,Q88QZ5_PSEPK,Acee,Pyruvate dehydrogenase E1 component,0.40843242
46,Q88LS0,EFP_PSEPK,Efp,Elongation factor P,0.40642032
47,Q88QM4,RL24_PSEPK,Rplx,50S ribosomal protein L24,0.399862321
48,Q88N50,Q88N50_PSEPK,Pp_1366,"Transcriptional regulator MvaT, P16 subunit",0.396459664
49,Q88QL6,RL15_PSEPK,Rplo,50S ribosomal protein L15,0.396009058
50,Q88N97,RL13_PSEPK,Rplm,50S ribosomal protein L13,0.39461149
51,Q88QL1,RPOA_PSEPK,Rpoa,DNA-directed RNA polymerase subunit alpha,0.394270263
52,Q88DF1,RL9_PSEPK,Rpli,50S ribosomal protein L9,0.393128768
53,Q88MI0,RS2_PSEPK,Rpsb,30S ribosomal protein S2,0.385676961
54,Q88DE8,RS6_PSEPK,Rpsf,30S ribosomal protein S6,0.383492899
55,P00761,TRYP_PIG,Tryp_pig,Trypsin,0.377137838
56,Q88QL8,RS5_PSEPK,Rpse,30S ribosomal protein S5,0.375580871
57,Q88QP0,RS12_PSEPK,Rpsl,30S ribosomal protein S12,0.374179191
58,Q88PK1,NDK_PSEPK,Ndk,Nucleoside diphosphate kinase,0.368804465
59,Q88NV5,Q88NV5_PSEPK,Pp_1099,Cold-shock domain family protein,0.363955656
60,Q88PX7,RL25_PSEPK,Rply,50S ribosomal protein L25,0.362942513
61,P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0.361081128
62,Q88KG8,Q88KG8_PSEPK,Opri,Outer membrane lipoprotein OprI,0.360148874
63,Q88DE9,RS18_PSEPK,Rpsr,30S ribosomal protein S18,0.357373966
64,Q88BX2,ATPA_PSEPK,Atpa,ATP synthase subunit alpha,0.351782028
65,Q88KF1,Q88KF1_PSEPK,Acnb,Aconitate hydratase B,0.350468134
66,Q88Q10,RL21_PSEPK,Rplu,50S ribosomal protein L21,0.349973901
67,Q88FI0,Q88FI0_PSEPK,Acea,Isocitrate lyase,0.349746378
68,Q88JH5,Q88JH5_PSEPK,Qedh,Quinoprotein ethanol dehydrogenase,0.349142791
69,Q88QL9,RL18_PSEPK,Rplr,50S ribosomal protein L18,0.346071665
70,Q88QL3,RS13_PSEPK,Rpsm,30S ribosomal protein S13,0.340800839
71,Q88QM2,RS14_PSEPK,Rpsn,30S ribosomal protein S14,0.322055287
72,Q88FS1,Q88FS1_PSEPK,Pp_4012,"Isocitrate dehydrogenase, NADP-dependent, monomeric-type",0.313155006
73,Q88QM7,RL29_PSEPK,Rpmc,50S ribosomal protein L29,0.310086701
74,Q88DW0,PNP_PSEPK,Pnp,Polyribonucleotide nucleotidyltransferase,0.307771951
75,Q88MV3,RL19_PSEPK,Rpls,50S ribosomal protein L19,0.306374516
76,Q88NX1,Q88NX1_PSEPK,Bfr,Ferroxidase,0.299823156
77,Q88FA9,Q88FA9_PSEPK,Kgda,"2-oxoglutarate dehydrogenase, E1 component",0.299685208
78,P59374,RS11_PSEPK,Rpsk,30S ribosomal protein S11,0.297826062
79,Q88QU0,Q88QU0_PSEPK,Pp_0397,Uncharacterized protein,0.294062718
80,Q88K24,RL20_PSEPK,Rplt,50S ribosomal protein L20,0.291702052
81,Q88FA8,Q88FA8_PSEPK,Sdhb,"Succinate dehydrogenase, iron-sulfur protein",0.283881916
82,Q88FB9,HTPG_PSEPK,Htpg,Chaperone protein HtpG,0.281016403
83,Q88QP5,RL11_PSEPK,Rplk,50S ribosomal protein L11,0.280273559
84,Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme,0.277828631
85,P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0.276416504
86,Q88QL0,RL17_PSEPK,Rplq,50S ribosomal protein L17,0.274543635
87,Q88LL5,ACP_PSEPK,Acpp,Acyl carrier protein,0.272357544
88,Q88QN0,RL22_PSEPK,Rplv,50S ribosomal protein L22,0.271773723
89,Q88PD5,SODF_PSEPK,Sodb,Superoxide dismutase [Fe],0.261853642
90,P0A165,RS21_PSEPK,Rpsu,30S ribosomal protein S21,0.2612694
91,Q88QP2,RPOB_PSEPK,Rpob,DNA-directed RNA polymerase subunit beta,0.25628863
92,Q88ES5,Q88ES5_PSEPK,Flic,Flagellin,0.252550341
93,Q88QP1,RPOC_PSEPK,Rpoc,DNA-directed RNA polymerase subunit beta',0.244577096
94,Q88KJ1,TIG_PSEPK,Tig,Trigger factor,0.242827284
95,Q88DD8,PURA_PSEPK,Pura,Adenylosuccinate synthetase,0.234456342
96,Q88QN3,RL23_PSEPK,Rplw,50S ribosomal protein L23,0.232880529
97,Q88QM5,RL14_PSEPK,Rpln,50S ribosomal protein L14,0.227573415
98,Q88HB7,Q88HB7_PSEPK,Pp_3443,"Glyceraldehyde-3-phosphate dehydrogenase, putative",0.227378427
99,Q88FA4,Q88FA4_PSEPK,Glta,Citrate synthase,0.22682368
100,Q88C99,RL28_PSEPK,Rpmb,50S ribosomal protein L28,0.226008683
101,Q88P38,Q88P38_PSEPK,Pp_1015,"Sugar ABC transporter, periplasmic sugar-binding protein",0.223064578
102,P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,0.215975659
103,Q88QF6,IPYR_PSEPK,Ppa,Inorganic pyrophosphatase,0.215651134
104,Q88FA7,Q88FA7_PSEPK,Sdha,Succinate dehydrogenase flavoprotein subunit,0.209203769
105,Q88P30,Q88P30_PSEPK,Pgl,6-phosphogluconolactonase,0.203811905
106,Q88IB0,Q88IB0_PSEPK,Pp_3089,Uncharacterized protein,0.201766585
107,Q88EH6,ACSA1_PSEPK,Acsa1,Acetyl-coenzyme A synthetase 1,0.196830614
108,Q88P31,Q88P31_PSEPK,Zwf-1,Glucose-6-phosphate 1-dehydrogenase,0.191411258
109,Q88K26,IF3_PSEPK,Infc,Translation initiation factor IF-3,0.189592257
110,Q88HI1,Q88HI1_PSEPK,Kgud,2-ketogluconate 6-phosphate reductase,0.188834333
111,Q88QN1,RS19_PSEPK,Rpss,30S ribosomal protein S19,0.188763736
112,Q88DU1,GRPE_PSEPK,Grpe,Protein GrpE,0.183757438
113,Q88P68,Q88P68_PSEPK,Pp_0985,Cold-shock domain family protein,0.18356323
114,Q88CY5,Q88CY5_PSEPK,Pp_5044,GTP-binding protein TypA/BipA,0.182376695
115,Q88NM2,Q88NM2_PSEPK,Oprh,Outer membrane protein H1,0.177151222
116,Q88QZ6,Q88QZ6_PSEPK,Acef,Acetyltransferase component of pyruvate dehydrogenase complex,0.172785416
117,Q88Q09,RL27_PSEPK,Rpma,50S ribosomal protein L27,0.171456304
118,Q88NB5,Q88NB5_PSEPK,Aapj,"General amino acid ABC transporter, periplasmic binding protein",0.170717686
119,Q88P34,Q88P34_PSEPK,Oprb-1,Porin B,0.16910475
120,Q88PF3,Q88PF3_PSEPK,Pp_0897,"Fumarate hydratase, class I",0.159391419
121,Q88P43,Q88P43_PSEPK,Edd,6-phosphogluconate dehydratase,0.158659079
122,Q88Q27,GLYA2_PSEPK,Glya2,Serine hydroxymethyltransferase 2,0.158024547
123,Q88RP6,TRPB_PSEPK,Trpb,Tryptophan synthase beta chain,0.157781058
124,Q88LF1,Q88LF1_PSEPK,Ibpa,Heat-shock protein IbpA,0.156827617
125,Q88P52,ARCA_PSEPK,Arca,Arginine deiminase,0.155950875
126,Q88D67,Q88D67_PSEPK,Fda,"Fructose-1,6-bisphosphate aldolase",0.155527642
127,Q88Q71,CLPB_PSEPK,Clpb,Chaperone protein ClpB,0.153908987
128,Q88IU6,Q88IU6_PSEPK,Ppib,Peptidyl-prolyl cis-trans isomerase,0.153760472
129,Q88P44,Q88P44_PSEPK,Gap-1,Glyceraldehyde-3-phosphate dehydrogenase,0.152799706
130,Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,0.152091608
131,Q88DV7,IF2_PSEPK,Infb,Translation initiation factor IF-2,0.151357567
132,Q88F96,Q88F96_PSEPK,Pp_4202,"Electron transfer flavoprotein, beta subunit",0.147242808
133,Q88P28,LEU1_PSEPK,Leua,2-isopropylmalate synthase,0.145851873
134,Q88KI9,CLPX_PSEPK,Clpx,ATP-dependent Clp protease ATP-binding subunit ClpX,0.145716869
135,Q88CM5,Q88CM5_PSEPK,Sera,D-3-phosphoglycerate dehydrogenase,0.14472817
136,Q88DD3,HFQ_PSEPK,Hfq,RNA-binding protein Hfq,0.14383968
137,Q88LE5,LEU3_PSEPK,Leub,3-isopropylmalate dehydrogenase,0.143060188
138,Q88L53,Q88L53_PSEPK,Ppsa,Phosphoenolpyruvate synthase,0.142822364
139,Q88KZ0,Q88KZ0_PSEPK,Gap-2,Glyceraldehyde-3-phosphate dehydrogenase,0.14111526
140,Q88E01,Q88E01_PSEPK,Mmsa-2,Methylmalonate semialdehyde dehydrogenase,0.138526352
141,Q88LL9,RL32_PSEPK,Rpmf,50S ribosomal protein L32,0.138395313
142,Q88EI9,AK_PSEPK,Pp_4473,Aspartate kinase,0.136984905
143,Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,0.136261287
144,Q88NA8,Q88NA8_PSEPK,Cysnc,Sulfate adenylyltransferase subunit 1,0.13571484
145,Q88P78,Q88P78_PSEPK,Hupn,"DNA-binding protein HU, form N",0.135151572
146,Q88P35,Q88P35_PSEPK,Pp_1018,"Sugar ABC transporter, ATP-binding subunit",0.131751176
147,Q88H54,Q88H54_PSEPK,Ilve,Branched-chain-amino-acid aminotransferase,0.131535433
148,Q88DY8,Q88DY8_PSEPK,Ilvb,Acetolactate synthase,0.130936095
149,Q88P73,AMPA_PSEPK,Pepa,Probable cytosol aminopeptidase,0.130920988
150,Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,0.130916339
151,Q88NJ4,SYDND_PSEPK,Asps,Aspartate--tRNA(Asp/Asn) ligase,0.130562338
152,Q88MH7,RRF_PSEPK,Frr,Ribosome-recycling factor,0.129773892
153,Q88CG6,Q88CG6_PSEPK,Trx-2,Thioredoxin,0.127161416
154,Q88QH6,RISB_PSEPK,Ribh,"6,7-dimethyl-8-ribityllumazine synthase",0.125624679
155,Q88DV9,RS15_PSEPK,Rpso,30S ribosomal protein S15,0.125463461
156,Q88PB7,Q88PB7_PSEPK,Mreb,Rod shape-determining protein MreB,0.125393567
157,Q88C36,Q88C36_PSEPK,Accc-2,"Acetyl-CoA carboxylase, biotin carboxylase",0.125129313
158,Q88HE4,Q88HE4_PSEPK,Gnuk,Gluconokinase,0.12401365
159,Q88PX6,KPRS_PSEPK,Prs,Ribose-phosphate pyrophosphokinase,0.12304546
160,Q88N54,Q88N54_PSEPK,Pyka,Pyruvate kinase,0.122937886
161,Q88C37,Q88C37_PSEPK,Oada,"Oxaloacetate decarboxylase, alpha subunit",0.122263909
162,Q88R66,Q88R66_PSEPK,Oprq,Outer membrane protein OprE3,0.1220834
163,Q88QP8,EFTU1_PSEPK,Tufa,Elongation factor Tu-A,0.119334668
164,Q88HH8,Q88HH8_PSEPK,Pp_3379,"Epimerase KguE, putative",0.1192574
165,Q88IQ2,Q88IQ2_PSEPK,Pp_2947,"Transcriptional regulator MvaT, P16 subunit, putative",0.117716927
166,Q88N71,LPXC_PSEPK,Lpxc,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,0.117671183
167,Q88RM9,Q88RM9_PSEPK,Cynt,Carbonic anhydrase,0.117594947
168,Q88R99,Q88R99_PSEPK,Opre,Porin E,0.11613908
169,P0A136,KAD_PSEPK,Adk,Adenylate kinase,0.115813542
170,Q88DV6,Q88DV6_PSEPK,Nusa,Transcription termination/antitermination protein NusA,0.115293472
171,Q88LR1,Q88LR1_PSEPK,Dead,ATP-dependent RNA helicase DeaD,0.1149412
172,P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0.114231829
173,Q88DY9,Q88DY9_PSEPK,Ilvn,"Acetolactate synthase, small subunit",0.114038583
174,Q88MF9,ENO_PSEPK,Eno,Enolase,0.113768191
175,Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,0.113757606
176,Q88P21,GUAA_PSEPK,Guaa,GMP synthase [glutamine-hydrolyzing],0.111226238
177,Q88DT9,Q88DT9_PSEPK,Fur,Transcriptional regulator Fur,0.107676216
178,Q88DF8,Q88DF8_PSEPK,Pp_4867,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein",0.107136058
179,Q88F97,Q88F97_PSEPK,Pp_4201,"Electron transfer flavoprotein, alpha subunit",0.106476807
180,Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,0.103853254
181,Q88PN2,Q88PN2_PSEPK,Pp_0817,"Aminotransferase, class I",0.103815999
182,Q88LL6,Q88LL6_PSEPK,Fabg,3-oxoacyl-(Acyl-carrier-protein) reductase,0.102944543
183,P0A120,DPO3B_PSEPK,Dnan,DNA polymerase III subunit beta,0.10275774
184,Q88K27,SYT_PSEPK,Thrs,Threonine--tRNA ligase,0.102090017
185,Q88DU6,CARB_PSEPK,Carb,Carbamoyl-phosphate synthase large chain,0.10184694
186,Q88P53,OTCC_PSEPK,Arcb,"Ornithine carbamoyltransferase, catabolic",0.101247515
187,Q88LX8,Q88LX8_PSEPK,Gmd,"GDP-mannose 4,6-dehydratase",0.100720513
188,Q88KB9,Q88KB9_PSEPK,Cysi,"Sulphite reductase hemoprotein, beta subunit",0.100716523
189,Q88P16,PUR4_PSEPK,Purl,Phosphoribosylformylglycinamidine synthase,0.100083829
190,Q88MG1,PYRG_PSEPK,Pyrg,CTP synthase,0.099947798
191,Q88DU4,DAPB_PSEPK,Dapb,4-hydroxy-tetrahydrodipicolinate reductase,0.099140765
192,Q88DF6,NADE_PSEPK,Nade,NH(3)-dependent NAD(+) synthetase,0.099071259
193,Q88MU7,Q88MU7_PSEPK,Thrc,Threonine synthase,0.098547563
194,Q88HE3,Q88HE3_PSEPK,Gntp,Gluconate transporter,0.098168588
195,Q88GY0,Q88GY0_PSEPK,Tpx,Probable thiol peroxidase,0.097784687
196,Q88RP7,TRPA_PSEPK,Trpa,Tryptophan synthase alpha chain,0.096879805
197,Q88ME4,RECA_PSEPK,Reca,Protein RecA,0.09583731
198,Q88D62,Q88D62_PSEPK,Tkta,Transketolase,0.095414595
199,Q88BX3,ATPG_PSEPK,Atpg,ATP synthase gamma chain,0.094270015
200,Q88NX2,Q88NX2_PSEPK,Pp_1081,Glutaredoxin,0.093906432
201,Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],0.092905153
202,Q88CJ9,Q88CJ9_PSEPK,Potf-2,"Putrescine ABC transporter, periplasmic putrescine-binding protein",0.092453051
203,Q88N69,SECA_PSEPK,Seca,Protein translocase subunit SecA,0.091397547
204,Q88IS1,Q88IS1_PSEPK,Pp_2928,Uncharacterized protein,0.09120698
205,Q88P22,Q88P22_PSEPK,Guab,Inosine-5'-monophosphate dehydrogenase,0.09115953
206,Q88DN1,SYL_PSEPK,Leus,Leucine--tRNA ligase,0.091075141
207,Q88FH2,NUOG_PSEPK,Nuog,NADH-quinone oxidoreductase subunit G,0.090306913
208,Q88MH1,Q88MH1_PSEPK,Omph,Outer membrane protein OmpH,0.090094041
209,Q88G86,Q88G86_PSEPK,Pp_3839,"Alcohol dehydrogenase, zinc-containing",0.090093066
210,Q88FR7,Q88FR7_PSEPK,Purb,Adenylosuccinate lyase,0.0890006
211,Q88LE8,LEUC_PSEPK,Leuc,3-isopropylmalate dehydratase large subunit,0.088779064
212,Q88LE7,LEUD_PSEPK,Leud,3-isopropylmalate dehydratase small subunit,0.0887687
213,Q88IC0,Q88IC0_PSEPK,Ppic-2,Peptidyl-prolyl cis-trans isomerase C,0.088480449
214,Q88RR9,SYGB_PSEPK,Glys,Glycine--tRNA ligase beta subunit,0.088371407
215,Q88CQ2,ILVD_PSEPK,Ilvd,Dihydroxy-acid dehydratase,0.088092527
216,Q88NG9,PUR7_PSEPK,Purc,Phosphoribosylaminoimidazole-succinocarboxamide synthase,0.087857557
217,Q88QV6,PQQC_PSEPK,Pqqc,Pyrroloquinoline-quinone synthase,0.08766751
218,Q88QD5,Q88QD5_PSEPK,Accb,"Acetyl-CoA carboxylase, biotin carboxyl carrier protein",0.087524515
219,P65117,IF1_PSEPK,Infa,Translation initiation factor IF-1,0.086978361
220,Q88Q92,SYI_PSEPK,Iles,Isoleucine--tRNA ligase,0.08626144
221,Q88MP1,DAPD_PSEPK,Dapd,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0.085935729
222,Q88E02,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0.085852091
223,Q88EI8,SYA_PSEPK,Alas,Alanine--tRNA ligase,0.085089969
224,Q88MS3,SYK_PSEPK,Lyss,Lysine--tRNA ligase,0.084559651
225,Q88CE7,Q88CE7_PSEPK,Pp_5234,Nitrogen regulatory protein P-II,0.083785245
226,Q88NJ7,Q88NJ7_PSEPK,Pp_1210,"DNA-binding stress protein, putative",0.083744833
227,Q88LD5,Q88LD5_PSEPK,Purf,Amidophosphoribosyltransferase,0.082898637
228,Q88CV4,Q88CV4_PSEPK,Gltb,"Glutamate synthase, large subunit",0.082776563
229,Q88M60,Q88M60_PSEPK,Fklb-2,Peptidyl-prolyl cis-trans isomerase,0.082649784
230,Q88DN0,Q88DN0_PSEPK,Lpte,LPS-assembly lipoprotein LptE,0.082577742
231,Q88Q24,Q88Q24_PSEPK,Pp_0674,"ABC transporter, ATP-binding protein",0.082438088
232,Q88NH2,Q88NH2_PSEPK,Dapa,4-hydroxy-tetrahydrodipicolinate synthase,0.08211059
233,Q88DM2,Q88DM2_PSEPK,Daca,D-alanyl-D-alanine carboxypeptidase,0.081648184
234,Q88C80,Q88C80_PSEPK,Pp_5303,Endoribonuclease,0.081292811
235,Q88CA0,RL33_PSEPK,Rpmg,50S ribosomal protein L33,0.079662099
236,Q88RC0,DAVD_PSEPK,Davd,Glutarate-semialdehyde dehydrogenase DavD,0.079586847
237,Q88DU3,DNAJ_PSEPK,Dnaj,Chaperone protein DnaJ,0.079495455
238,Q88LM4,Q88LM4_PSEPK,Rne,Ribonuclease E,0.079234431
239,Q88PS2,Q88PS2_PSEPK,Slyd,Peptidyl-prolyl cis-trans isomerase,0.07881204
240,Q88QP6,Q88QP6_PSEPK,Nusg,Transcription termination/antitermination protein NusG,0.078753879
241,Q88P76,SYV_PSEPK,Vals,Valine--tRNA ligase,0.078325151
242,Q88NK2,SYP_PSEPK,Pros,Proline--tRNA ligase,0.078116245
243,Q88CU1,SYR_PSEPK,Args,Arginine--tRNA ligase,0.077737339
244,Q88F24,ZIPA_PSEPK,Zipa,Cell division protein ZipA,0.076434652
245,Q88KQ7,Q88KQ7_PSEPK,Pp_2233,"Hydrolase, isochorismatase family",0.075948498
246,Q88MD5,Q88MD5_PSEPK,Fpr,Ferredoxin--NADP reductase,0.07574528
247,Q88LG1,Q88LG1_PSEPK,Tyrb-1,Aromatic-amino-acid aminotransferase,0.075458315
248,Q88FC4,FABA_PSEPK,Faba,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,0.07538658
249,Q88NY2,Q88NY2_PSEPK,Pp_1071,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.074498704
250,Q88LR9,Q88LR9_PSEPK,Ohr,Organic hydroperoxide resistance protein,0.073472322
251,Q88QU7,Q88QU7_PSEPK,Rpod,RNA polymerase sigma factor RpoD,0.073294936
252,Q88R42,HIS4_PSEPK,Hisa,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,0.072989696
253,Q88L36,Q88L36_PSEPK,Pp_2099,Uncharacterized protein,0.07264808
254,Q88KI8,Q88KI8_PSEPK,Lon-2,Lon protease,0.072460282
255,Q88D28,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,0.072364571
256,Q88K39,ASPQ_PSEPK,Ansb,Glutaminase-asparaginase,0.072069499
257,Q88DD6,Q88DD6_PSEPK,Hflc,Protein HflC,0.071936899
258,Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,0.071501791
259,Q88CY9,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",0.071255724
260,Q88KY8,STHA_PSEPK,Stha,Soluble pyridine nucleotide transhydrogenase,0.070688225
261,P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,0.070414908
262,Q88QF3,Q88QF3_PSEPK,Pp_0541,"Acetyltransferase, GNAT family",0.070167445
263,Q88RR8,SYGA_PSEPK,Glyq,Glycine--tRNA ligase alpha subunit,0.069861293
264,Q88HH9,Q88HH9_PSEPK,Kguk,2-ketogluconate kinase,0.069262669
265,Q88DD7,HISZ_PSEPK,Hisz,ATP phosphoribosyltransferase regulatory subunit,0.068782565
266,Q88EX0,Q88EX0_PSEPK,Chew,Purine-binding chemotaxis protein CheW,0.068275375
267,Q88LZ1,Q88LZ1_PSEPK,Rmlb,"dTDP-glucose 4,6-dehydratase",0.067656997
268,Q88PN7,Q88PN7_PSEPK,Cyoa,"Cytochrome o ubiquinol oxidase, subunit II",0.067505941
269,Q88NM1,Q88NM1_PSEPK,Phop,Transcriptional regulatory protein PhoP,0.067350463
270,Q88KJ0,CLPP_PSEPK,Clpp,ATP-dependent Clp protease proteolytic subunit,0.066485651
271,Q88DK3,PUR9_PSEPK,Purh,Bifunctional purine biosynthesis protein PurH,0.066302676
272,Q88PL2,Q88PL2_PSEPK,Suhb,Extragenic suppressor protein SuhB,0.066020884
273,Q88PU7,MQO1_PSEPK,Mqo1,Probable malate:quinone oxidoreductase 1,0.065970696
274,Q877U6,Q877U6_PSEPK,Pp_1157,"Acetolactate synthase, catabolic, putative",0.065560436
275,Q88E95,Q88E95_PSEPK,Cysk,Cysteine synthase,0.065362723
276,Q88KI6,Q88KI6_PSEPK,Pp_2304,Peptidylprolyl isomerase,0.065189664
277,Q88NC1,Q88NC1_PSEPK,Pp_1291,PhoH family protein,0.065173431
278,Q88P88,MURA_PSEPK,Mura,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.065044286
279,Q88FS2,Q88FS2_PSEPK,Icd,Isocitrate dehydrogenase [NADP],0.064854863
280,Q88N87,Q88N87_PSEPK,Pp_1325,"Lipoprotein, putative",0.064741144
281,Q88GX7,Q88GX7_PSEPK,Tyrb-2,Aromatic-amino-acid aminotransferase,0.064631375
282,Q88PN6,Q88PN6_PSEPK,Cyob,"Cytochrome o ubiquinol oxidase, subunit I",0.064581603
283,Q88PU5,Q88PU5_PSEPK,Pp_0753,"Lipoprotein, putative",0.064577607
284,Q88QL5,Q88QL5_PSEPK,Secy,Protein translocase subunit SecY,0.06450814
285,Q88LE4,Q88LE4_PSEPK,Asd,Aspartate-semialdehyde dehydrogenase,0.064172784
286,Q88DU5,CARA_PSEPK,Cara,Carbamoyl-phosphate synthase small chain,0.064000805
287,Q88GM8,Q88GM8_PSEPK,Pp_3693,"Transcriptional regulator MvaT, P16 subunit, putative",0.06399297
288,P59618,ARLY_PSEPK,Argh,Argininosuccinate lyase,0.063622222
289,Q88MY8,Q88MY8_PSEPK,Algy,"Alginate biosynthesis negative regulator, serine protease AlgY",0.063523163
290,Q88LD9,ACCD_PSEPK,Accd,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,0.063324816
291,Q88FT2,SYS_PSEPK,Sers,Serine--tRNA ligase,0.063143152
292,Q88FC3,Q88FC3_PSEPK,Fabb,3-oxoacyl-(Acyl-carrier-protein) synthase I,0.062927933
