Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,BL_241101_PP_0812_15,82226.73333,0.015213224,-1.817778731
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,BL_241101_PP_0812_15,13216.83333,0.001999,-2.699187306
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,BL_241101_PP_0812_15,88788.6,0.015665076,-1.805067493
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,BL_241101_PP_0812_15,58131.30667,0.010755196,-1.968381683
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,BL_241101_PP_0812_15,13724.36667,0.002075762,-2.682822408
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,BL_241101_PP_0812_15,25119.63333,0.004431886,-2.353411406
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,BL_241101_PP_0812_15,18752.64,0.00346953,-2.459729352
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,BL_241101_PP_0812_15,147858.6667,0.026086877,-1.583577916
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,BL_241101_PP_0812_15,140123.6667,0.025925057,-1.586280275
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,BL_241101_PP_0812_15,117098.6667,0.017710761,-1.75176277
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,BL_241101_PP_0812_15,22372.13333,0.003947142,-2.403717303
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,BL_241101_PP_0812_15,22499.37333,0.004162734,-2.380621346
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,BL_241101_PP_0812_15,8191.533333,0.001445242,-2.840059499
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,BL_241101_PP_0812_15,43621.77333,0.008070706,-2.093088451
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,BL_241101_PP_0812_15,83222.2,0.01468299,-1.833185509
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,BL_241101_PP_0812_15,71278.46667,0.013187625,-1.879833419
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,BL_241101_PP_0812_15,63445.6,0.009595924,-2.017913211
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",BL_241101_PP_0812_15,20758.16667,0.003662387,-2.436235707
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",BL_241101_PP_0812_15,9801.32,0.001813397,-2.7415072
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,BL_241101_PP_0812_15,37742.46667,0.006658947,-2.176594422
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,BL_241101_PP_0812_15,17512.11333,0.003240013,-2.489453209
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,BL_241101_PP_0812_15,42624.93333,0.007520367,-2.123760989
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,BL_241101_PP_0812_15,85129.96667,0.015019579,-1.823342238
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,BL_241101_PP_0812_15,97099.26667,0.017964874,-1.745575818
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,BL_241101_PP_0812_15,56462.7,0.008539785,-2.068553078
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,BL_241101_PP_0812_15,13876.26667,0.002448206,-2.611152064
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
A0A140FWK1,A0A140FWK1_PSEPK,Pp_5651,Uncharacterized protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,BL_241101_PP_0812_15,216195.1333,0.038143559,-1.418578788
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,BL_241101_PP_0812_15,117687.8067,0.021774074,-1.662060299
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,BL_241101_PP_0812_15,147545.6667,0.022315763,-1.651388261
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,BL_241101_PP_0812_15,155386.9,0.027415092,-1.562010299
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,BL_241101_PP_0812_15,115677.6,0.021402155,-1.669542499
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,BL_241101_PP_0812_15,118709.9,0.020944126,-1.678937763
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,BL_241101_PP_0812_15,137068.2,0.025359748,-1.595855059
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,BL_241101_PP_0812_15,105432.1,0.015946234,-1.797341863
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,BL_241101_PP_0812_15,54751.06667,0.009659794,-2.015032117
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,BL_241101_PP_0812_15,17203.58667,0.003182931,-2.497172768
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,BL_241101_PP_0812_15,37437.66667,0.005662315,-2.247005947
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,BL_241101_PP_0812_15,336927.9667,0.059444593,-1.225887641
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,BL_241101_PP_0812_15,337453.6333,0.06243417,-1.20457766
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,BL_241101_PP_0812_15,438621,0.066339883,-1.178225299
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,BL_241101_PP_0812_15,12050.96667,0.002126166,-2.672402816
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,BL_241101_PP_0812_15,81773.20667,0.015129315,-1.82018074
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,BL_241101_PP_0812_15,159011.6667,0.028054613,-1.551995712
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,BL_241101_PP_0812_15,133415.9333,0.024684022,-1.607584069
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,BL_241101_PP_0812_15,120205,0.018180583,-1.740392187
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,BL_241101_PP_0812_15,522920.3333,0.092259443,-1.034989172
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,BL_241101_PP_0812_15,429613.2,0.079485123,-1.099714151
A0A140FWS3,A0A140FWS3_PSEPK,Ahcy,Adenosylhomocysteinase,BL_241101_PP_0812_15,485743.6667,0.07346702,-1.133907573
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,BL_241101_PP_0812_15,62730.76667,0.011067662,-1.955944106
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,BL_241101_PP_0812_15,80633,0.014918359,-1.82627895
A0A140FWS4,A0A140FWS4_PSEPK,Ubib,Probable protein kinase UbiB,BL_241101_PP_0812_15,34820.43333,0.005266468,-2.278480548
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,BL_241101_PP_0812_15,33857.3,0.005973483,-2.22377238
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,BL_241101_PP_0812_15,49162.24,0.009095779,-2.041160106
A0A140FWS5,A0A140FWS5_PSEPK,Beti,HTH-type transcriptional regulator BetI,BL_241101_PP_0812_15,0,1.00E-05,-5
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,BL_241101_PP_0812_15,2235.2,0.000394359,-3.404108313
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,BL_241101_PP_0812_15,59703.50667,0.011046077,-1.956791928
A0A140FWU0,A0A140FWU0_PSEPK,Pp_5737,Uncharacterized protein,BL_241101_PP_0812_15,0,1.00E-05,-5
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,BL_241101_PP_0812_15,10214926.67,1.802231398,0.255810551
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,BL_241101_PP_0812_15,8874032.073,1.641833928,0.215329226
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,BL_241101_PP_0812_15,12857450.33,1.944644123,0.288840135
P00761,TRYP_PIG,Tryp_pig,Trypsin,BL_241101_PP_0812_15,4584781.333,0.808898305,-0.092106074
P00761,TRYP_PIG,Tryp_pig,Trypsin,BL_241101_PP_0812_15,3232497.8,0.598062359,-0.22325353
P00761,TRYP_PIG,Tryp_pig,Trypsin,BL_241101_PP_0812_15,9283333.333,1.404071503,0.147389225
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",BL_241101_PP_0812_15,179443.8,0.031659478,-1.499496244
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",BL_241101_PP_0812_15,4949.626667,0.000915758,-3.038219325
P04264,K2C1_HUMAN,Krt1,"Keratin, type II cytoskeletal 1",BL_241101_PP_0812_15,143554.3667,0.021712093,-1.663298312
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,BL_241101_PP_0812_15,48915.33333,0.008630189,-2.063979684
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,BL_241101_PP_0812_15,62587.7,0.011579698,-1.936302776
P0A0Z9,ARGA_PSEPK,Arga,Amino-acid acetyltransferase,BL_241101_PP_0812_15,0,1.00E-05,-5
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,BL_241101_PP_0812_15,19839.03333,0.003500224,-2.455904195
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,BL_241101_PP_0812_15,28421.31333,0.005258385,-2.279147626
P0A116,DNAA_PSEPK,Dnaa,Chromosomal replication initiator protein DnaA,BL_241101_PP_0812_15,17204.73333,0.002602155,-2.584666774
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,BL_241101_PP_0812_15,741276.3667,0.130784252,-0.883444547
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,BL_241101_PP_0812_15,812497.24,0.150324624,-0.822969874
P0A120,DPO3B_PSEPK,Dnan,Beta sliding clamp,BL_241101_PP_0812_15,921146.4,0.139320152,-0.855986061
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,BL_241101_PP_0812_15,69871.13333,0.012327445,-1.909126914
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,BL_241101_PP_0812_15,72350.30667,0.013385932,-1.873351392
P0A124,RSMG_PSEPK,Rsmg,Ribosomal RNA small subunit methyltransferase G,BL_241101_PP_0812_15,45922.5,0.006945617,-2.158289197
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,BL_241101_PP_0812_15,249209.3333,0.043968293,-1.356860398
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,BL_241101_PP_0812_15,124583.4067,0.023049868,-1.637331566
P0A126,IHFA_PSEPK,Ihfa,Integration host factor subunit alpha,BL_241101_PP_0812_15,213991.6667,0.032365487,-1.489917859
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,BL_241101_PP_0812_15,94675.06667,0.016703632,-1.777189082
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,BL_241101_PP_0812_15,75068.1,0.013888766,-1.857336344
P0A130,CPOB_PSEPK,Cpob,Cell division coordinator CpoB,BL_241101_PP_0812_15,263925,0.039917728,-1.39883419
P0A136,KAD_PSEPK,Adk,Adenylate kinase,BL_241101_PP_0812_15,2149367.667,0.379215438,-0.42111399
P0A136,KAD_PSEPK,Adk,Adenylate kinase,BL_241101_PP_0812_15,1966457.333,0.363825186,-0.43910724
P0A136,KAD_PSEPK,Adk,Adenylate kinase,BL_241101_PP_0812_15,2300651.667,0.34796547,-0.458463851
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,BL_241101_PP_0812_15,2703333.333,0.476952246,-0.321525102
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,BL_241101_PP_0812_15,2560000,0.473639809,-0.324551803
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,BL_241101_PP_0812_15,3606666.667,0.545495643,-0.263208714
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,BL_241101_PP_0812_15,250228.4333,0.044148094,-1.355088045
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,BL_241101_PP_0812_15,233564.0667,0.043212984,-1.36438574
P0A140,YIDC_PSEPK,Yidc,Membrane protein insertase YidC,BL_241101_PP_0812_15,225591.6667,0.034119946,-1.466991667
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,BL_241101_PP_0812_15,576760,0.101758438,-0.992429569
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,BL_241101_PP_0812_15,563387.2667,0.104235405,-0.981984741
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,BL_241101_PP_0812_15,1244841,0.188277821,-0.725200836
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,BL_241101_PP_0812_15,73248.36667,0.012923295,-1.888626757
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,BL_241101_PP_0812_15,87341.53333,0.016159542,-1.791570956
P0A149,Y002_PSEPK,Pp_0002,Uncharacterized protein PP_0002,BL_241101_PP_0812_15,10208.46667,0.001543995,-2.811354205
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,BL_241101_PP_0812_15,151821.2667,0.026786003,-1.572092091
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,BL_241101_PP_0812_15,41501.55333,0.007678433,-2.114727416
P0A151,PARB_PSEPK,Parb,Probable chromosome-partitioning protein ParB,BL_241101_PP_0812_15,173741.7,0.026277821,-1.580410653
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,BL_241101_PP_0812_15,10636666.67,1.876639477,0.273380848
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,BL_241101_PP_0812_15,7540000,1.39501725,0.144579578
P0A157,RL7_PSEPK,Rpll,Large ribosomal subunit protein bL12,BL_241101_PP_0812_15,31533333.33,4.769305715,0.678455162
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,BL_241101_PP_0812_15,1153898.333,0.203583626,-0.691257156
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,BL_241101_PP_0812_15,1149430.333,0.212662486,-0.672309114
P0A165,RS21_PSEPK,Rpsu,Small ribosomal subunit protein bS21,BL_241101_PP_0812_15,1611133.333,0.243678248,-0.613183237
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,BL_241101_PP_0812_15,276477.7333,0.048779288,-1.311764541
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,BL_241101_PP_0812_15,283130.3,0.052383508,-1.280805419
P0A171,RP54_PSEPK,Rpon,RNA polymerase sigma-54 factor,BL_241101_PP_0812_15,19166.93333,0.002898931,-2.537762088
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,BL_241101_PP_0812_15,441791.3333,0.077945759,-1.10820751
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,BL_241101_PP_0812_15,405037,0.074938143,-1.12529707
P0A173,TOLB_PSEPK,Tolb,Tol-Pal system protein TolB,BL_241101_PP_0812_15,336193.9333,0.050848149,-1.293724848
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,BL_241101_PP_0812_15,54028.73333,0.009532352,-2.020799916
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,BL_241101_PP_0812_15,36601.14667,0.006771781,-2.169297077
P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,BL_241101_PP_0812_15,0,1.00E-05,-5
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,BL_241101_PP_0812_15,6831328.333,1.205259207,0.081080458
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,BL_241101_PP_0812_15,6440523,1.191596907,0.076129367
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,BL_241101_PP_0812_15,18545948.67,2.805009481,0.447934333
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
P13645,K1C10_HUMAN,Krt10,"Keratin, type I cytoskeletal 10",BL_241101_PP_0812_15,0,1.00E-05,-5
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,BL_241101_PP_0812_15,12206415.17,2.153592031,0.333163435
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,BL_241101_PP_0812_15,11155495,2.063940047,0.314697078
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,BL_241101_PP_0812_15,11234697.33,1.699208442,0.230246657
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",BL_241101_PP_0812_15,210121.8333,0.03707204,-1.43095352
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
P35527,K1C9_HUMAN,Krt9,"Keratin, type I cytoskeletal 9",BL_241101_PP_0812_15,0,1.00E-05,-5
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",BL_241101_PP_0812_15,1676.4,0.000295769,-3.52904705
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
P35908,K22E_HUMAN,Krt2,"Keratin, type II cytoskeletal 2 epidermal",BL_241101_PP_0812_15,0,1.00E-05,-5
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,BL_241101_PP_0812_15,20374.26667,0.003594656,-2.444342716
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,BL_241101_PP_0812_15,29300.47333,0.005421043,-2.265917132
P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,BL_241101_PP_0812_15,30137.93333,0.004558256,-2.341201252
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,BL_241101_PP_0812_15,369681.8333,0.065223396,-1.185596592
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,BL_241101_PP_0812_15,368708.6667,0.068216837,-1.166108422
P59300,ARGB_PSEPK,Argb,Acetylglutamate kinase,BL_241101_PP_0812_15,323016.6667,0.048855134,-1.311089789
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,BL_241101_PP_0812_15,2235.2,0.000394359,-3.404108313
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,BL_241101_PP_0812_15,4949.626667,0.000915758,-3.038219325
P59308,ARGC2_PSEPK,Argc2,N-acetyl-gamma-glutamyl-phosphate reductase 2,BL_241101_PP_0812_15,0,1.00E-05,-5
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,BL_241101_PP_0812_15,275015.1333,0.04852124,-1.314068109
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,BL_241101_PP_0812_15,277218.4067,0.051289716,-1.289969705
P59319,ARGD_PSEPK,Argd,Acetylornithine aminotransferase,BL_241101_PP_0812_15,228438,0.034550444,-1.461546371
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,BL_241101_PP_0812_15,123972.3333,0.021872583,-1.660099926
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,BL_241101_PP_0812_15,100789.8,0.01864768,-1.729375185
P59351,Y396_PSEPK,Pp_0396,UPF0229 protein PP_0396,BL_241101_PP_0812_15,138339.3333,0.020923337,-1.679369041
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,BL_241101_PP_0812_15,1432529.133,0.252742782,-0.597321239
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,BL_241101_PP_0812_15,1675808.147,0.310050567,-0.508567471
P59374,RS11_PSEPK,Rpsk,Small ribosomal subunit protein uS11,BL_241101_PP_0812_15,1364446.333,0.206367707,-0.685358261
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",BL_241101_PP_0812_15,36584.26667,0.006454605,-2.190130348
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",BL_241101_PP_0812_15,19736.44667,0.00365155,-2.437522803
P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",BL_241101_PP_0812_15,0,1.00E-05,-5
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,BL_241101_PP_0812_15,232385.1333,0.040999979,-1.387216361
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,BL_241101_PP_0812_15,241897.1,0.044754725,-1.349161106
P59400,HISX_PSEPK,Hisd,Histidinol dehydrogenase,BL_241101_PP_0812_15,184600.1667,0.027920126,-1.554082631
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,BL_241101_PP_0812_15,229897.6,0.040561101,-1.391890264
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,BL_241101_PP_0812_15,264259.74,0.048892161,-1.310760765
P59560,Y1352_PSEPK,Pp_1352,UPF0234 protein PP_1352,BL_241101_PP_0812_15,284209.3333,0.042985662,-1.366676384
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,BL_241101_PP_0812_15,1096406.267,0.193440233,-0.713453193
