Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
pnp,PNP_PSEPK,Pnp,Polyribonucleotide nucleotidyltransferase,0.3077719506111111,73.0
rplS,RL19_PSEPK,Rpls,50S ribosomal protein L19,0.3063745156666667,74.0
bfr-II,Q88NX1_PSEPK,Bfr,Ferroxidase,0.2998231561111111,75.0
sucA,Q88FA9_PSEPK,Kgda,"2-oxoglutarate dehydrogenase, E1 component",0.29968520777777774,76.0
rpsK,RS11_PSEPK,Rpsk,30S ribosomal protein S11,0.2978260618333333,77.0
yeaG,Q88QU0_PSEPK,Pp_0397,Uncharacterized protein,0.2940627183333333,78.0
rplT,RL20_PSEPK,Rplt,50S ribosomal protein L20,0.2917020517222222,79.0
sdhB,Q88FA8_PSEPK,Sdhb,"Succinate dehydrogenase, iron-sulfur protein",0.2838819161666667,80.0
htpG,HTPG_PSEPK,Htpg,Chaperone protein HtpG,0.2810164031111111,81.0
rplK,RL11_PSEPK,Rplk,50S ribosomal protein L11,0.2802735588888889,82.0
maeB,Q88CU5_PSEPK,Maeb,Malic enzyme,0.2778286307222222,83.0
pal,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0.27641650416666663,84.0
rplQ,RL17_PSEPK,Rplq,50S ribosomal protein L17,0.2745436351111111,85.0
acpP,ACP_PSEPK,Acpp,Acyl carrier protein,0.2723575438888889,86.0
rplV,RL22_PSEPK,Rplv,50S ribosomal protein L22,0.2717737231666667,87.0
sodB,SODF_PSEPK,Sodb,Superoxide dismutase [Fe],0.2618536417222222,88.0
rpsU,RS21_PSEPK,Rpsu,30S ribosomal protein S21,0.2612694002777778,89.0
rpoB,RPOB_PSEPK,Rpob,DNA-directed RNA polymerase subunit beta,0.25628862983333334,90.0
fliC,Q88ES5_PSEPK,Flic,Flagellin,0.2525503408888889,91.0
rpoC,RPOC_PSEPK,Rpoc,DNA-directed RNA polymerase subunit beta',0.24457709616666667,92.0
tig,TIG_PSEPK,Tig,Trigger factor,0.2428272835,93.0
purA,PURA_PSEPK,Pura,Adenylosuccinate synthetase,0.23445634188888886,94.0
rplW,RL23_PSEPK,Rplw,50S ribosomal protein L23,0.23288052944444443,95.0
rplN,RL14_PSEPK,Rpln,50S ribosomal protein L14,0.2275734146111111,96.0
PP_3443,Q88HB7_PSEPK,Pp_3443,"Glyceraldehyde-3-phosphate dehydrogenase, putative",0.22737842716666667,97.0
gltA,Q88FA4_PSEPK,Glta,Citrate synthase,0.2268236796666667,98.0
rpmB,RL28_PSEPK,Rpmb,50S ribosomal protein L28,0.22600868344444447,99.0
gtsA,Q88P38_PSEPK,Pp_1015,"Sugar ABC transporter, periplasmic sugar-binding protein",0.2230645777777778,100.0
argG,ASSY_PSEPK,Argg,Argininosuccinate synthase,0.21597565916666667,101.0
ppa,IPYR_PSEPK,Ppa,Inorganic pyrophosphatase,0.21565113416666665,102.0
sdhA,Q88FA7_PSEPK,Sdha,Succinate dehydrogenase flavoprotein subunit,0.20920376883333333,103.0
pgl,Q88P30_PSEPK,Pgl,6-phosphogluconolactonase,0.20381190477777777,104.0
PP_3089,Q88IB0_PSEPK,Pp_3089,Uncharacterized protein,0.20176658544444445,105.0
acsA1,ACSA1_PSEPK,Acsa1,Acetyl-coenzyme A synthetase 1,0.19683061416666667,106.0
zwfA,Q88P31_PSEPK,Zwf-1,Glucose-6-phosphate 1-dehydrogenase,0.19141125844444443,107.0
infC,IF3_PSEPK,Infc,Translation initiation factor IF-3,0.18959225744444444,108.0
ptxD,Q88HI1_PSEPK,Kgud,2-ketogluconate 6-phosphate reductase,0.1888343332777778,109.0
rpsS,RS19_PSEPK,Rpss,30S ribosomal protein S19,0.18876373588888887,110.0
grpE,GRPE_PSEPK,Grpe,Protein GrpE,0.18375743827777777,111.0
typA,Q88CY5_PSEPK,Pp_5044,GTP-binding protein TypA/BipA,0.18237669494444445,112.0
oprH,Q88NM2_PSEPK,Oprh,Outer membrane protein H1,0.17715122211111112,113.0
aceF,Q88QZ6_PSEPK,Acef,Acetyltransferase component of pyruvate dehydrogenase complex,0.172785416,114.0
rpmA,RL27_PSEPK,Rpma,50S ribosomal protein L27,0.17145630405555556,115.0
yhdW,Q88NB5_PSEPK,Aapj,"General amino acid ABC transporter, periplasmic binding protein",0.1707176863888889,116.0
oprB-I,Q88P34_PSEPK,Oprb-1,Porin B,0.16910474983333335,117.0
PP_0897,Q88PF3_PSEPK,Pp_0897,"Fumarate hydratase, class I",0.15939141894444445,118.0
edd,Q88P43_PSEPK,Edd,6-phosphogluconate dehydratase,0.15865907916666666,119.0
glyA2,GLYA2_PSEPK,Glya2,Serine hydroxymethyltransferase 2,0.15802454666666665,120.0
trpB,TRPB_PSEPK,Trpb,Tryptophan synthase beta chain,0.15778105827777777,121.0
ibpA,Q88LF1_PSEPK,Ibpa,Heat-shock protein IbpA,0.15682761722222222,122.0
arcA,ARCA_PSEPK,Arca,Arginine deiminase,0.15595087483333334,123.0
fba,Q88D67_PSEPK,Fda,"Fructose-1,6-bisphosphate aldolase",0.15552764227777777,124.0
clpB,CLPB_PSEPK,Clpb,Chaperone protein ClpB,0.153908987,125.0
ppiB,Q88IU6_PSEPK,Ppib,Peptidyl-prolyl cis-trans isomerase,0.1537604723888889,126.0
gapA,Q88P44_PSEPK,Gap-1,Glyceraldehyde-3-phosphate dehydrogenase,0.15279970583333335,127.0
hslU,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,0.15209160777777778,128.0
infB,IF2_PSEPK,Infb,Translation initiation factor IF-2,0.15135756694444444,129.0
etfB,Q88F96_PSEPK,Pp_4202,"Electron transfer flavoprotein, beta subunit",0.1472428082777778,130.0
leuA,LEU1_PSEPK,Leua,2-isopropylmalate synthase,0.1458518731111111,131.0
clpX,CLPX_PSEPK,Clpx,ATP-dependent Clp protease ATP-binding subunit ClpX,0.14571686866666667,132.0
serA,Q88CM5_PSEPK,Sera,D-3-phosphoglycerate dehydrogenase,0.1447281695,133.0
hfq,HFQ_PSEPK,Hfq,RNA-binding protein Hfq,0.14383968044444445,134.0
leuB,LEU3_PSEPK,Leub,3-isopropylmalate dehydrogenase,0.14306018811111113,135.0
ppsA,Q88L53_PSEPK,Ppsa,Phosphoenolpyruvate synthase,0.14282236444444446,136.0
gapB,Q88KZ0_PSEPK,Gap-2,Glyceraldehyde-3-phosphate dehydrogenase,0.14111525966666666,137.0
mmsA-II,Q88E01_PSEPK,Mmsa-2,Methylmalonate semialdehyde dehydrogenase,0.13852635155555557,138.0
rpmF,RL32_PSEPK,Rpmf,50S ribosomal protein L32,0.138395313,139.0
PP_4473,AK_PSEPK,Pp_4473,Aspartate kinase,0.13698490455555556,140.0
atpF,ATPF_PSEPK,Atpf,ATP synthase subunit b,0.13626128744444446,141.0
cysNC,Q88NA8_PSEPK,Cysnc,Sulfate adenylyltransferase subunit 1,0.13571484016666668,142.0
hupN,Q88P78_PSEPK,Hupn,"DNA-binding protein HU, form N",0.135151572,143.0
gtsD,Q88P35_PSEPK,Pp_1018,"Sugar ABC transporter, ATP-binding subunit",0.1317511755,144.0
ilvE,Q88H54_PSEPK,Ilve,Branched-chain-amino-acid aminotransferase,0.1315354331111111,145.0
ilvI,Q88DY8_PSEPK,Ilvb,Acetolactate synthase,0.13093609494444444,146.0
pepA,AMPA_PSEPK,Pepa,Probable cytosol aminopeptidase,0.13092098794444446,147.0
rho,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,0.13091633916666667,148.0
aspS,SYDND_PSEPK,Asps,Aspartate--tRNA(Asp/Asn) ligase,0.130562338,149.0
frr,RRF_PSEPK,Frr,Ribosome-recycling factor,0.12977389233333333,150.0
trxA,Q88CG6_PSEPK,Trx-2,Thioredoxin,0.1271614163888889,151.0
ribH,RISB_PSEPK,Ribh,"6,7-dimethyl-8-ribityllumazine synthase",0.12562467877777778,152.0
rpsO,RS15_PSEPK,Rpso,30S ribosomal protein S15,0.12546346072222223,153.0
mreB,Q88PB7_PSEPK,Mreb,Rod shape-determining protein MreB,0.1253935668888889,154.0
pycA,Q88C36_PSEPK,Accc-2,"Acetyl-CoA carboxylase, biotin carboxylase",0.12512931255555557,155.0
gnuK,Q88HE4_PSEPK,Gnuk,Gluconokinase,0.12401364983333335,156.0
prs,KPRS_PSEPK,Prs,Ribose-phosphate pyrophosphokinase,0.12304545955555556,157.0
pykA,Q88N54_PSEPK,Pyka,Pyruvate kinase,0.12293788644444444,158.0
pycB,Q88C37_PSEPK,Oada,"Oxaloacetate decarboxylase, alpha subunit",0.12226390883333334,159.0
oprQ,Q88R66_PSEPK,Oprq,Outer membrane protein OprE3,0.12208340022222222,160.0
tufA,EFTU1_PSEPK,Tufa,Elongation factor Tu-A,0.11933466844444444,161.0
kguE,Q88HH8_PSEPK,Pp_3379,"Epimerase KguE, putative",0.11925740027777779,162.0
PP_2947,Q88IQ2_PSEPK,Pp_2947,"Transcriptional regulator MvaT, P16 subunit, putative",0.11771692688888888,163.0
lpxC,LPXC_PSEPK,Lpxc,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,0.11767118316666665,164.0
cynT,Q88RM9_PSEPK,Cynt,Carbonic anhydrase,0.117594947,165.0
oprE,Q88R99_PSEPK,Opre,Porin E,0.1161390796111111,166.0
adk,KAD_PSEPK,Adk,Adenylate kinase,0.11581354177777776,167.0
nusA,Q88DV6_PSEPK,Nusa,Transcription termination/antitermination protein NusA,0.11529347166666667,168.0
deaD,Q88LR1_PSEPK,Dead,ATP-dependent RNA helicase DeaD,0.11494120044444446,169.0
hpf,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0.11423182872222222,170.0
ilvH,Q88DY9_PSEPK,Ilvn,"Acetolactate synthase, small subunit",0.1140385831111111,171.0
eno,ENO_PSEPK,Eno,Enolase,0.11376819138888888,172.0
secB,SECB_PSEPK,Secb,Protein-export protein SecB,0.11375760622222224,173.0
guaA,GUAA_PSEPK,Guaa,GMP synthase [glutamine-hydrolyzing],0.1112262375,174.0
fur,Q88DT9_PSEPK,Fur,Transcriptional regulator Fur,0.10767621555555557,175.0
PP_4867,Q88DF8_PSEPK,Pp_4867,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein",0.1071360581111111,176.0
etfA,Q88F97_PSEPK,Pp_4201,"Electron transfer flavoprotein, alpha subunit",0.10647680694444445,177.0
pgk,PGK_PSEPK,Pgk,Phosphoglycerate kinase,0.10385325388888889,178.0
alaC,Q88PN2_PSEPK,Pp_0817,"Aminotransferase, class I",0.10381599916666667,179.0
fabG,Q88LL6_PSEPK,Fabg,3-oxoacyl-(Acyl-carrier-protein) reductase,0.10294454288888889,180.0
dnaN,DPO3B_PSEPK,Dnan,DNA polymerase III subunit beta,0.10275774033333333,181.0
thrS,SYT_PSEPK,Thrs,Threonine--tRNA ligase,0.10209001749999999,182.0
carB,CARB_PSEPK,Carb,Carbamoyl-phosphate synthase large chain,0.1018469396111111,183.0
arcB,OTCC_PSEPK,Arcb,"Ornithine carbamoyltransferase, catabolic",0.10124751472222221,184.0
gmd,Q88LX8_PSEPK,Gmd,"GDP-mannose 4,6-dehydratase",0.100720513,185.0
cysI,Q88KB9_PSEPK,Cysi,"Sulphite reductase hemoprotein, beta subunit",0.100716523,186.0
purL,PUR4_PSEPK,Purl,Phosphoribosylformylglycinamidine synthase,0.10008382872222223,187.0
pyrG,PYRG_PSEPK,Pyrg,CTP synthase,0.09994779772222223,188.0
dapB,DAPB_PSEPK,Dapb,4-hydroxy-tetrahydrodipicolinate reductase,0.0991407645,189.0
nadE,NADE_PSEPK,Nade,NH(3)-dependent NAD(+) synthetase,0.09907125927777777,190.0
thrC,Q88MU7_PSEPK,Thrc,Threonine synthase,0.09854756338888888,191.0
gntT,Q88HE3_PSEPK,Gntp,Gluconate transporter,0.098168588,192.0
tpx,Q88GY0_PSEPK,Tpx,Probable thiol peroxidase,0.09778468705555556,193.0
trpA,TRPA_PSEPK,Trpa,Tryptophan synthase alpha chain,0.0968798045,194.0
recA,RECA_PSEPK,Reca,Protein RecA,0.0958373096111111,195.0
tktA,Q88D62_PSEPK,Tkta,Transketolase,0.09541459533333334,196.0
atpG,ATPG_PSEPK,Atpg,ATP synthase gamma chain,0.09427001516666667,197.0
grxD,Q88NX2_PSEPK,Pp_1081,Glutaredoxin,0.09390643244444445,198.0
fabV,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],0.09290515344444444,199.0
spuD,Q88CJ9_PSEPK,Potf-2,"Putrescine ABC transporter, periplasmic putrescine-binding protein",0.09245305083333333,200.0
secA,SECA_PSEPK,Seca,Protein translocase subunit SecA,0.09139754744444445,201.0
PP_2928,Q88IS1_PSEPK,Pp_2928,Uncharacterized protein,0.09120698044444445,202.0
guaB,Q88P22_PSEPK,Guab,Inosine-5'-monophosphate dehydrogenase,0.09115952977777779,203.0
leuS,SYL_PSEPK,Leus,Leucine--tRNA ligase,0.091075141,204.0
nuoG,NUOG_PSEPK,Nuog,NADH-quinone oxidoreductase subunit G,0.09030691272222222,205.0
PP_1600,Q88MH1_PSEPK,Omph,Outer membrane protein OmpH,0.09009404083333333,206.0
adhP,Q88G86_PSEPK,Pp_3839,"Alcohol dehydrogenase, zinc-containing",0.09009306622222223,207.0
purB,Q88FR7_PSEPK,Purb,Adenylosuccinate lyase,0.08900060027777777,208.0
leuC,LEUC_PSEPK,Leuc,3-isopropylmalate dehydratase large subunit,0.0887790635,209.0
leuD,LEUD_PSEPK,Leud,3-isopropylmalate dehydratase small subunit,0.08876869994444445,210.0
ppiC-II,Q88IC0_PSEPK,Ppic-2,Peptidyl-prolyl cis-trans isomerase C,0.08848044916666667,211.0
glyS,SYGB_PSEPK,Glys,Glycine--tRNA ligase beta subunit,0.08837140661111112,212.0
ilvD,ILVD_PSEPK,Ilvd,Dihydroxy-acid dehydratase,0.08809252655555555,213.0
purC,PUR7_PSEPK,Purc,Phosphoribosylaminoimidazole-succinocarboxamide synthase,0.08785755694444444,214.0
pqqC,PQQC_PSEPK,Pqqc,Pyrroloquinoline-quinone synthase,0.08766751016666667,215.0
accB,Q88QD5_PSEPK,Accb,"Acetyl-CoA carboxylase, biotin carboxyl carrier protein",0.0875245145,216.0
infA,IF1_PSEPK,Infa,Translation initiation factor IF-1,0.08697836083333334,217.0
ileS,SYI_PSEPK,Iles,Isoleucine--tRNA ligase,0.08626144005555555,218.0
dapD,DAPD_PSEPK,Dapd,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0.08593572866666667,219.0
mmsB,Q88E02_PSEPK,Mmsb,3-hydroxyisobutyrate dehydrogenase,0.08585209133333332,220.0
alaS,SYA_PSEPK,Alas,Alanine--tRNA ligase,0.08508996911111111,221.0
lysS,SYK_PSEPK,Lyss,Lysine--tRNA ligase,0.08455965094444445,222.0
glnK,Q88CE7_PSEPK,Pp_5234,Nitrogen regulatory protein P-II,0.08378524455555555,223.0
dps,Q88NJ7_PSEPK,Pp_1210,"DNA-binding stress protein, putative",0.083744833,224.0
purF,Q88LD5_PSEPK,Purf,Amidophosphoribosyltransferase,0.08289863688888889,225.0
gltB,Q88CV4_PSEPK,Gltb,"Glutamate synthase, large subunit",0.08277656283333333,226.0
fklB-II,Q88M60_PSEPK,Fklb-2,Peptidyl-prolyl cis-trans isomerase,0.08264978361111111,227.0
lptE,Q88DN0_PSEPK,Lpte,LPS-assembly lipoprotein LptE,0.08257774172222222,228.0
ettA,Q88Q24_PSEPK,Pp_0674,"ABC transporter, ATP-binding protein",0.08243808761111111,229.0
dapA,Q88NH2_PSEPK,Dapa,4-hydroxy-tetrahydrodipicolinate synthase,0.08211059022222222,230.0
dacA,Q88DM2_PSEPK,Daca,D-alanyl-D-alanine carboxypeptidase,0.08164818411111112,231.0
ridA,Q88C80_PSEPK,Pp_5303,Endoribonuclease,0.08129281116666667,232.0
rpmG,RL33_PSEPK,Rpmg,50S ribosomal protein L33,0.07966209927777777,233.0
davD,DAVD_PSEPK,Davd,Glutarate-semialdehyde dehydrogenase DavD,0.0795868473888889,234.0
dnaJ,DNAJ_PSEPK,Dnaj,Chaperone protein DnaJ,0.07949545522222222,235.0
rne,Q88LM4_PSEPK,Rne,Ribonuclease E,0.07923443061111111,236.0
slyD,Q88PS2_PSEPK,Slyd,Peptidyl-prolyl cis-trans isomerase,0.0788120396111111,237.0
nusG,Q88QP6_PSEPK,Nusg,Transcription termination/antitermination protein NusG,0.07875387883333333,238.0
valS,SYV_PSEPK,Vals,Valine--tRNA ligase,0.07832515088888889,239.0
proS,SYP_PSEPK,Pros,Proline--tRNA ligase,0.07811624522222221,240.0
argS,SYR_PSEPK,Args,Arginine--tRNA ligase,0.07773733911111111,241.0
zipA,ZIPA_PSEPK,Zipa,Cell division protein ZipA,0.07643465155555557,242.0
PP_2233,Q88KQ7_PSEPK,Pp_2233,"Hydrolase, isochorismatase family",0.07594849811111111,243.0
fpr-I,Q88MD5_PSEPK,Fpr,Ferredoxin--NADP reductase,0.07574527955555556,244.0
tyrB,Q88LG1_PSEPK,Tyrb-1,Aromatic-amino-acid aminotransferase,0.0754583151111111,245.0
fabA,FABA_PSEPK,Faba,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,0.07538658011111112,246.0
gltI,Q88NY2_PSEPK,Pp_1071,"Amino acid ABC transporter, periplasmic amino acid-binding protein",0.07449870388888889,247.0
ohr,Q88LR9_PSEPK,Ohr,Organic hydroperoxide resistance protein,0.07347232233333333,248.0
rpoD,Q88QU7_PSEPK,Rpod,RNA polymerase sigma factor RpoD,0.07329493588888888,249.0
hisA,HIS4_PSEPK,Hisa,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,0.07298969616666667,250.0
PP_2099,Q88L36_PSEPK,Pp_2099,Uncharacterized protein,0.07264807955555556,251.0
lon-II,Q88KI8_PSEPK,Lon-2,Lon protease,0.07246028172222223,252.0
hslV,HSLV_PSEPK,Hslv,ATP-dependent protease subunit HslV,0.07236457072222222,253.0
ansB,ASPQ_PSEPK,Ansb,Glutaminase-asparaginase,0.07206949866666666,254.0
hflC,Q88DD6_PSEPK,Hflc,Protein HflC,0.07193689872222223,255.0
atpH,ATPD_PSEPK,Atph,ATP synthase subunit delta,0.07150179116666666,256.0
fbp,F16PA_PSEPK,Fbp,"Fructose-1,6-bisphosphatase class 1",0.07125572427777778,257.0
sthA,STHA_PSEPK,Stha,Soluble pyridine nucleotide transhydrogenase,0.07068822527777778,258.0
argB,ARGB_PSEPK,Argb,Acetylglutamate kinase,0.07041490794444444,259.0
PP_0541,Q88QF3_PSEPK,Pp_0541,"Acetyltransferase, GNAT family",0.07016744472222222,260.0
glyQ,SYGA_PSEPK,Glyq,Glycine--tRNA ligase alpha subunit,0.069861293,261.0
kguK,Q88HH9_PSEPK,Kguk,2-ketogluconate kinase,0.06926266922222223,262.0
hisZ,HISZ_PSEPK,Hisz,ATP phosphoribosyltransferase regulatory subunit,0.06878256455555556,263.0
PP_4332,Q88EX0_PSEPK,Chew,Purine-binding chemotaxis protein CheW,0.06827537466666667,264.0
rffG,Q88LZ1_PSEPK,Rmlb,"dTDP-glucose 4,6-dehydratase",0.06765699655555556,265.0
cyoA,Q88PN7_PSEPK,Cyoa,"Cytochrome o ubiquinol oxidase, subunit II",0.067505941,266.0
phoP,Q88NM1_PSEPK,Phop,Transcriptional regulatory protein PhoP,0.06735046344444445,267.0
clpP,CLPP_PSEPK,Clpp,ATP-dependent Clp protease proteolytic subunit,0.06648565072222222,268.0
purH,PUR9_PSEPK,Purh,Bifunctional purine biosynthesis protein PurH,0.06630267633333334,269.0
suhB,Q88PL2_PSEPK,Suhb,Extragenic suppressor protein SuhB,0.06602088405555556,270.0
mqo1,MQO1_PSEPK,Mqo1,Probable malate:quinone oxidoreductase 1,0.06597069616666668,271.0
PP_1157 PP_3365,Q877U6_PSEPK,Pp_1157,"Acetolactate synthase, catabolic, putative",0.06556043616666668,272.0
cysK,Q88E95_PSEPK,Cysk,Cysteine synthase,0.06536272283333333,273.0
PP_2304,Q88KI6_PSEPK,Pp_2304,Peptidylprolyl isomerase,0.065189664,274.0
PP_1291,Q88NC1_PSEPK,Pp_1291,PhoH family protein,0.06517343083333332,275.0
murA,MURA_PSEPK,Mura,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.06504428627777778,276.0
icd,Q88FS2_PSEPK,Icd,Isocitrate dehydrogenase [NADP],0.06485486261111112,277.0
PP_1325,Q88N87_PSEPK,Pp_1325,"Lipoprotein, putative",0.06474114444444444,278.0
amaC,Q88GX7_PSEPK,Tyrb-2,Aromatic-amino-acid aminotransferase,0.06463137488888888,279.0
